"","precint","usCitizen","income","noOfStops","crime","label"
"33",52,-25.4979091658257,-22.0133211199142,22.6902505339579,33.1978341182295,3
"34",60,3.90147401117265,-6.57354774738222,7.76534368298851,-0.318069720532536,1
"35",61,15.3261092760085,-0.0456287050318626,-12.0349923528001,20.2725053938683,1
"36",62,-3.38501423579337,-4.8376926491047,-11.0163102576051,-14.0181520118527,1
"37",63,25.3030523785228,0.0851224848441739,-18.0334927596908,-4.57322671096569,1
"38",66,-0.752913534176237,-10.8642529302823,-13.1314338694679,-19.3840626906896,1
"39",67,-0.909532077566787,-6.41030927497677,-0.104101235919606,73.7631357098972,3
"40",68,7.64940169194551,3.16199449729163,-13.9937604083006,-37.3634473794687,1
"41",69,2.84091579612891,-3.26166325633033,-7.20074430636745,-17.8553444273948,1
"42",70,-6.10690380800925,-2.43777757893926,3.81401900413912,30.1525460879103,3
"43",71,-3.99725737910192,-5.33562309560739,1.12837626545455,8.58623666878754,1
"44",72,-19.111301331773,-6.20739365000018,-2.44862256840196,-15.054390592117,1
"45",73,6.83532504658312,-5.12720414657711,21.2554903228226,33.5594088815555,3
"46",75,9.66222983865865,-14.1169920224512,4.33633342188981,202.031615172963,3
"47",76,5.69534143683632,1.70553696339769,11.2659469158825,-19.0709736370772,1
"48",77,1.25241204119978,-1.21432989584193,4.3643597068865,4.60421512123817,1
"49",78,5.36803863845738,5.23540345702621,-1.3625009567125,-12.1240693473579,1
"50",79,6.59981017332611,-4.83158220413027,9.69619208709224,21.8992561751949,1
"51",81,-2.78030592358105,-2.28147237782502,0.637515883465292,3.66325886466274,1
"52",83,-15.9852563189171,-6.97699411746034,5.6643260054614,26.9882850834213,3
"53",84,7.24054322768852,6.1372873818117,2.99318116806989,-9.52320839182688,1
"54",88,5.92495072695579,1.73748168636382,-2.40353486025463,-9.02754541298228,1
"55",90,13.7922665317548,-12.687689074156,12.7040402438725,12.8651492749222,1
"56",94,-0.430870160079459,4.79675385524321,-6.85831030433645,-14.8553371559014,1
"57",100,2.70968838226573,0.797309274460592,0.015723935395105,-16.7067160153247,1
"58",101,-2.21027885283246,-13.062830463585,48.9264031260111,-11.0040689425415,1
"59",102,-0.0208586856890883,-7.23874510015383,-10.194627546981,13.4406545100034,1
"60",103,-7.98954601023759,-8.91666586410064,18.1974162372012,18.9579774632116,1
"61",104,15.5456078015452,-1.48130810145386,-20.1154028613275,21.3881098187509,1
"62",105,21.03610683118,-2.0782204474062,-16.5605167387835,65.6563640249271,3
"63",106,12.4301632103858,-3.97790410497377,-11.0066769536653,9.31919594376473,1
"64",107,-14.8595855390938,-4.97950732377558,-16.1780420530925,-10.5965421131092,1
"65",108,-44.2828852452896,-6.61359548140441,-7.6783388728578,-13.6600637153708,1
"66",109,-45.2408317066066,-6.84582291536519,-8.08526917323881,52.6930739566053,3
"67",110,-57.3192226692989,-17.7049730383792,5.62208982472027,16.2601450882535,3
"68",111,6.41391748258607,0.790131233706236,-8.11373102496788,-36.1768359683643,1
"69",112,3.24828326504545,8.81318017241145,-8.3724355897153,-30.497879546062,1
"70",113,35.2393746187009,-14.1278244243055,-4.55316459247435,70.8768825398442,3
"71",114,-15.2081013366344,-5.31147040514576,-4.21777960626548,62.0938445624922,3
"72",115,-73.3544817281633,-15.8078927200473,9.41655288042601,19.7457024192363,3
"73",120,3.71130148367789,-13.4995107892718,57.0587879814192,-10.1207151816508,1
"74",122,37.2974748301021,3.81912202349448,-7.0760729423815,-46.3144421073964,1
"75",123,32.4131625402733,3.75122486589351,-5.94021170227651,-29.790689808628,1
