"PCT","FRISKED","OTHRWEAP","FREQ","PERCENTAGE"
"188","61  ","Y","N",2805,0.528556165452212
"189","61  ","Y","Y",10,0.00188433570571199
"190","62  ","N","N",2338,0.440557687995463
"191","62  ","N","Y",2,0.000376867141142397
"192","62  ","Y","N",2114,0.398348568187514
"193","62  ","Y","Y",8,0.00150746856456959
"194","63  ","N","N",1170,0.220467277568302
"195","63  ","N","Y",1,0.000188433570571199
"196","63  ","Y","N",2470,0.465430919310861
"197","63  ","Y","Y",10,0.00188433570571199
"198","66  ","N","N",1449,0.273040243757667
"199","66  ","N","Y",2,0.000376867141142397
"200","66  ","Y","N",1953,0.368010763325551
"201","66  ","Y","Y",16,0.00301493712913918
"202","67  ","N","N",4545,0.856430578246098
"203","67  ","N","Y",5,0.000942167852855993
"204","67  ","Y","N",6206,1.16941873896486
"205","67  ","Y","Y",27,0.00508770640542236
"206","68  ","N","N",1562,0.294333237232212
"207","68  ","Y","N",983,0.185230199871488
"208","68  ","Y","Y",3,0.000565300711713596
"209","69  ","N","N",2872,0.541181214680483
"210","69  ","Y","N",2477,0.466749954304859
"211","69  ","Y","Y",8,0.00150746856456959
"212","7   ","N","N",1208,0.227627753250008
"213","7   ","N","Y",1,0.000188433570571199
"214","7   ","Y","N",2260,0.425859869490909
"215","7   ","Y","Y",14,0.00263806998799678
"216","70  ","N","N",4557,0.858691781092952
"217","70  ","N","Y",6,0.00113060142342719
"218","70  ","Y","N",6539,1.23216711796507
"219","70  ","Y","Y",22,0.00414553855256637
"220","71  ","N","N",2263,0.426425170202623
"221","71  ","N","Y",2,0.000376867141142397
"222","71  ","Y","N",2373,0.447152862965454
"223","71  ","Y","Y",20,0.00376867141142397
"224","72  ","N","N",2393,0.450921534376878
"225","72  ","Y","N",2736,0.5155542490828
"226","72  ","Y","Y",10,0.00188433570571199
"227","73  ","N","N",12019,2.26478308469524
"228","73  ","N","Y",3,0.000565300711713596
"229","73  ","Y","N",9847,1.85550536941459
"230","73  ","Y","Y",32,0.00602987425827836
"231","75  ","N","N",11883,2.23915611909755
"232","75  ","N","Y",9,0.00169590213514079
"233","75  ","Y","N",12365,2.32998110011287
"234","75  ","Y","Y",49,0.00923324495798874
"235","76  ","N","N",2607,0.491246318479115
"236","76  ","N","Y",1,0.000188433570571199
"237","76  ","Y","N",1858,0.350109574121287
"238","76  ","Y","Y",10,0.00188433570571199
"239","77  ","N","N",4613,0.869244061044939
"240","77  ","N","Y",3,0.000565300711713596
"241","77  ","Y","N",5262,0.991537448345647
"242","77  ","Y","Y",25,0.00471083926427997
"243","78  ","N","N",2068,0.389680623941239
"244","78  ","N","Y",1,0.000188433570571199
"245","78  ","Y","N",1198,0.225743417544296
"246","78  ","Y","Y",7,0.00131903499399839
"247","79  ","N","N",6843,1.28945092341871
"248","79  ","N","Y",3,0.000565300711713596
"249","79  ","Y","N",8298,1.56362176859981
"250","79  ","Y","Y",35,0.00659517496999195
"251","81  ","N","N",3641,0.686086630449734
"252","81  ","N","Y",2,0.000376867141142397
"253","81  ","Y","N",5978,1.12645588487463
"254","81  ","Y","Y",14,0.00263806998799678
"255","83  ","N","N",4435,0.835702885483266
"256","83  ","Y","N",7341,1.38329084156317
"257","83  ","Y","Y",19,0.00358023784085278
"258","84  ","N","N",2266,0.426990470914336
"259","84  ","N","Y",2,0.000376867141142397
"260","84  ","Y","N",1528,0.287926495832792
"261","84  ","Y","Y",11,0.00207276927628319
"262","88  ","N","N",2909,0.548153256791617
"263","88  ","N","Y",1,0.000188433570571199
"264","88  ","Y","N",2996,0.564546977431311
"265","88  ","Y","Y",15,0.00282650355856798
"266","9   ","N","N",2594,0.488796682061689
"267","9   ","N","Y",3,0.000565300711713596
"268","9   ","Y","N",2601,0.490115717055688
"269","9   ","Y","Y",23,0.00433397212313757
"270","90  ","N","N",5289,0.99662515475107
"271","90  ","Y","N",4530,0.85360407468753
"272","90  ","Y","Y",12,0.00226120284685438
"273","94  ","N","N",1137,0.214248969739453
"274","94  ","N","Y",1,0.000188433570571199
"275","94  ","Y","N",942,0.177504423478069
"276","94  ","Y","Y",9,0.00169590213514079
