"PCT","FRISKED","KNIFCUTI","FREQ","PERCENTAGE"
"245","75  ","Y","N",12259,2.31000714163232
"246","75  ","Y","Y",155,0.0292072034385358
"247","76  ","N","N",2606,0.491057884908544
"248","76  ","N","Y",2,0.000376867141142397
"249","76  ","Y","N",1833,0.345398734857007
"250","76  ","Y","Y",35,0.00659517496999195
"251","77  ","N","N",4603,0.867359725339228
"252","77  ","N","Y",13,0.00244963641742558
"253","77  ","Y","N",5217,0.983057937669943
"254","77  ","Y","Y",70,0.0131903499399839
"255","78  ","N","N",2062,0.388550022517812
"256","78  ","N","Y",7,0.00131903499399839
"257","78  ","Y","N",1191,0.224424382550298
"258","78  ","Y","Y",14,0.00263806998799678
"259","79  ","N","N",6842,1.28926248984814
"260","79  ","N","Y",4,0.000753734282284795
"261","79  ","Y","N",8229,1.55061985223039
"262","79  ","Y","Y",104,0.0195970913394047
"263","81  ","N","N",3638,0.685521329738021
"264","81  ","N","Y",5,0.000942167852855993
"265","81  ","Y","N",5946,1.12042601061635
"266","81  ","Y","Y",46,0.00866794424627514
"267","83  ","N","N",4428,0.834383850489268
"268","83  ","N","Y",7,0.00131903499399839
"269","83  ","Y","N",7286,1.37292699518175
"270","83  ","Y","Y",74,0.0139440842222687
"271","84  ","N","N",2259,0.425671435920338
"272","84  ","N","Y",9,0.00169590213514079
"273","84  ","Y","N",1475,0.277939516592518
"274","84  ","Y","Y",64,0.0120597485165567
"275","88  ","N","N",2903,0.54702265536819
"276","88  ","N","Y",7,0.00131903499399839
"277","88  ","Y","N",2962,0.55814023603189
"278","88  ","Y","Y",49,0.00923324495798874
"279","9   ","N","N",2587,0.487477647067691
"280","9   ","N","Y",10,0.00188433570571199
"281","9   ","Y","N",2564,0.483143674944553
"282","9   ","Y","Y",60,0.0113060142342719
"283","90  ","N","N",5283,0.995494553327643
"284","90  ","N","Y",6,0.00113060142342719
"285","90  ","Y","N",4489,0.845878298294111
"286","90  ","Y","Y",53,0.00998697924027353
"287","94  ","N","N",1135,0.213872102598311
"288","94  ","N","Y",3,0.000565300711713596
"289","94  ","Y","N",935,0.176185388484071
"290","94  ","Y","Y",16,0.00301493712913918
