"PCT","total","FRISKED","PISTOL","FREQ","PERCENTAGE","normalisedFreq"
"34","109 ",9672,"Y","N",6011,1.13267419270348,0.621484698097601
"35","109 ",9672,"Y","Y",6,0.00113060142342719,0.000620347394540943
"36","110 ",9075,"N","N",1693,0.319018034977039,0.186556473829201
"37","110 ",9075,"Y","N",7378,1.3902628836743,0.813002754820937
"38","110 ",9075,"Y","Y",4,0.000753734282284795,0.000440771349862259
"39","111 ",3749,"N","N",1571,0.296029139367353,0.41904507868765
"40","111 ",3749,"Y","N",2177,0.4102198831335,0.580688183515604
"41","111 ",3749,"Y","Y",1,0.000188433570571199,0.000266737796745799
"42","112 ",2788,"N","N",1249,0.235353529643427,0.447991391678623
"43","112 ",2788,"Y","N",1536,0.289433964397361,0.550932568149211
"44","112 ",2788,"Y","Y",3,0.000565300711713596,0.00107604017216643
"45","113 ",8711,"N","N",3188,0.600726222980981,0.365974055791528
"46","113 ",8711,"N","Y",2,0.000376867141142397,0.000229594765239353
"47","113 ",8711,"Y","N",5503,1.03694993885331,0.631729996556079
"48","113 ",8711,"Y","Y",18,0.00339180427028158,0.00206635288715417
"49","114 ",8452,"N","N",2958,0.557386501749606,0.349976336961666
"50","114 ",8452,"Y","N",5487,1.03393500172417,0.64919545669664
"51","114 ",8452,"Y","Y",7,0.00131903499399839,0.000828206341694274
"52","115 ",8061,"N","N",1872,0.352747644109284,0.232229251953852
"53","115 ",8061,"Y","N",6183,1.16508476684172,0.767026423520655
"54","115 ",8061,"Y","Y",6,0.00113060142342719,0.000744324525493115
"55","120 ",12348,"N","N",6505,1.22576037656565,0.52680596047943
"56","120 ",12348,"Y","N",5833,1.0991330171418,0.472384191771947
"57","120 ",12348,"Y","Y",10,0.00188433570571199,0.000809847748623259
"58","122 ",6394,"N","N",3511,0.661590266275479,0.549108539255552
"59","122 ",6394,"Y","N",2880,0.542688683245052,0.450422270878949
"60","122 ",6394,"Y","Y",3,0.000565300711713596,0.000469189865498905
"61","123 ",1935,"N","N",1065,0.200681752658327,0.550387596899225
"62","123 ",1935,"Y","N",869,0.163748772826372,0.449095607235142
"63","123 ",1935,"Y","Y",1,0.000188433570571199,0.000516795865633075
"64","13  ",3821,"N","N",2262,0.426236736632051,0.591991625228998
"65","13  ",3821,"Y","N",1555,0.293014202238214,0.406961528395708
"66","13  ",3821,"Y","Y",4,0.000753734282284795,0.00104684637529443
"67","14  ",8869,"N","N",6405,1.20691701950853,0.722178374112076
