"PCT","total","PF_WALL","FREQ","PERCENTAGE","normalisedFreq"
"101","6   ",3600,"N",3337,0.62880282499609,0.926944444444444
"102","6   ",3600,"Y",263,0.0495580290602253,0.0730555555555556
"103","60  ",7775,"N",7579,1.42813803135911,0.974790996784566
"104","60  ",7775,"Y",196,0.0369329798319549,0.0252090032154341
"105","61  ",6681,"N",6645,1.25214107644562,0.994611585092052
"106","61  ",6681,"Y",36,0.00678360854056315,0.00538841490794791
"107","62  ",4462,"N",4415,0.831934214071842,0.989466606902734
"108","62  ",4462,"Y",47,0.00885637781684634,0.0105333930972658
"109","63  ",3651,"N",3604,0.6791145883386,0.98712681457135
"110","63  ",3651,"Y",47,0.00885637781684634,0.0128731854286497
"111","66  ",3420,"N",3368,0.634644265683797,0.984795321637427
"112","66  ",3420,"Y",52,0.00979854566970233,0.0152046783625731
"113","67  ",10783,"N",10610,1.99928018376042,0.983956227394974
"114","67  ",10783,"Y",173,0.0325990077088174,0.0160437726050264
"115","68  ",2548,"N",2479,0.467126821446001,0.972919937205652
"116","68  ",2548,"Y",69,0.0130019163694127,0.0270800627943485
"117","69  ",5357,"N",5308,1.00020539259192,0.990853089415718
"118","69  ",5357,"Y",49,0.00923324495798874,0.00914691058428225
"119","7   ",3483,"N",3379,0.63671703496008,0.970140683318978
"120","7   ",3483,"Y",104,0.0195970913394047,0.0298593166810221
"121","70  ",11124,"N",10818,2.03847436643923,0.972491909385113
"122","70  ",11124,"Y",306,0.0576606725947868,0.0275080906148867
"123","71  ",4658,"N",4609,0.868490326762655,0.989480463718334
"124","71  ",4658,"Y",49,0.00923324495798874,0.010519536281666
"125","72  ",5139,"N",4981,0.938587615015141,0.96925471881689
"126","72  ",5139,"Y",158,0.0297725041502494,0.0307452811831096
"127","73  ",21901,"N",21794,4.1067212370287,0.995114378338889
"128","73  ",21901,"Y",107,0.0201623920511183,0.00488562166111137
"129","75  ",24306,"N",24123,4.54558302288903,0.992470994816095
"130","75  ",24306,"Y",183,0.0344833434145294,0.00752900518390521
"131","76  ",4476,"N",4350,0.819686031984714,0.971849865951743
"132","76  ",4476,"Y",126,0.023742629891971,0.0281501340482574
"133","77  ",9903,"N",9838,1.85380946727945,0.993436332424518
"134","77  ",9903,"Y",65,0.0122481820871279,0.00656366757548218
"135","78  ",3274,"N",3257,0.613728139350394,0.99480757483201
"136","78  ",3274,"Y",17,0.00320337069971038,0.00519242516799023
"137","79  ",15179,"N",14955,2.81802404789228,0.985242769615917
"138","79  ",15179,"Y",224,0.0422091198079485,0.0147572303840833
"139","81  ",9635,"N",9553,1.80010589966666,0.991489361702128
"140","81  ",9635,"Y",82,0.0154515527868383,0.00851063829787234
"141","83  ",11795,"N",11697,2.20410747497131,0.991691394658754
"142","83  ",11795,"Y",98,0.0184664899159775,0.00830860534124629
"143","84  ",3807,"N",3745,0.705683721789139,0.983714210664565
"144","84  ",3807,"Y",62,0.0116828813754143,0.0162857893354347
"145","88  ",5921,"N",5874,1.10685879353522,0.99206215166357
"146","88  ",5921,"Y",47,0.00885637781684634,0.00793784833642966
"147","9   ",5221,"N",4921,0.927281600780869,0.942539743344187
"148","9   ",5221,"Y",300,0.0565300711713596,0.0574602566558131
"149","90  ",9831,"N",9718,1.83119743881091,0.988505747126437
"150","90  ",9831,"Y",113,0.0212929934745455,0.0114942528735632
"151","94  ",2089,"N",2066,0.389303756800096,0.988989947343226
"152","94  ",2089,"Y",23,0.00433397212313757,0.0110100526567736
