"PCT","FRISKED","CONTRABN","FREQ","PERCENTAGE"
"223","66  ","Y","N",1945,0.366503294760981
"224","66  ","Y","Y",24,0.00452240569370877
"225","67  ","N","N",4534,0.854357808969815
"226","67  ","N","Y",16,0.00301493712913918
"227","67  ","Y","N",6146,1.15811272473059
"228","67  ","Y","Y",87,0.0163937206396943
"229","68  ","N","N",1556,0.293202635808785
"230","68  ","N","Y",6,0.00113060142342719
"231","68  ","Y","N",953,0.179577192754352
"232","68  ","Y","Y",33,0.00621830782884956
"233","69  ","N","N",2859,0.538731578263057
"234","69  ","N","Y",13,0.00244963641742558
"235","69  ","Y","N",2441,0.459966345764296
"236","69  ","Y","Y",44,0.00829107710513274
"237","7   ","N","N",1198,0.225743417544296
"238","7   ","N","Y",11,0.00207276927628319
"239","7   ","Y","N",2186,0.41191578526864
"240","7   ","Y","Y",88,0.0165821542102655
"241","70  ","N","N",4558,0.858880214663524
"242","70  ","N","Y",5,0.000942167852855993
"243","70  ","Y","N",6513,1.22726784513022
"244","70  ","Y","Y",48,0.00904481138741754
"245","71  ","N","N",2260,0.425859869490909
"246","71  ","N","Y",5,0.000942167852855993
"247","71  ","Y","N",2334,0.439803953713178
"248","71  ","Y","Y",59,0.0111175806637007
"249","72  ","N","N",2389,0.450167800094594
"250","72  ","N","Y",4,0.000753734282284795
"251","72  ","Y","N",2713,0.511220276959662
"252","72  ","Y","Y",33,0.00621830782884956
"253","73  ","N","N",11999,2.26101441328381
"254","73  ","N","Y",23,0.00433397212313757
"255","73  ","Y","N",9810,1.84853332730346
"256","73  ","Y","Y",69,0.0130019163694127
"257","75  ","N","N",11864,2.2355758812567
"258","75  ","N","Y",28,0.00527613997599356
"259","75  ","Y","N",12308,2.31924038659031
"260","75  ","Y","Y",106,0.0199739584805471
"261","76  ","N","N",2599,0.489738849914545
"262","76  ","N","Y",9,0.00169590213514079
"263","76  ","Y","N",1760,0.33164308420531
"264","76  ","Y","Y",108,0.0203508256216895
"265","77  ","N","N",4585,0.863967921068946
"266","77  ","N","Y",31,0.00584144068770716
"267","77  ","Y","N",5178,0.975709028417667
"268","77  ","Y","Y",109,0.0205392591922607
"269","78  ","N","N",2068,0.389680623941239
"270","78  ","N","Y",1,0.000188433570571199
"271","78  ","Y","N",1189,0.224047515409155
"272","78  ","Y","Y",16,0.00301493712913918
"273","79  ","N","N",6789,1.27927551060787
"274","79  ","N","Y",57,0.0107407135225583
"275","79  ","Y","N",8200,1.54515527868383
"276","79  ","Y","Y",133,0.0250616648859694
"277","81  ","N","N",3629,0.68382542760288
"278","81  ","N","Y",14,0.00263806998799678
"279","81  ","Y","N",5925,1.11646890563435
"280","81  ","Y","Y",67,0.0126250492282703
"281","83  ","N","N",4419,0.832687948354127
"282","83  ","N","Y",16,0.00301493712913918
"283","83  ","Y","N",7245,1.36520121878833
"284","83  ","Y","Y",115,0.0216698606156879
"285","84  ","N","N",2249,0.423787100214626
"286","84  ","N","Y",19,0.00358023784085278
"287","84  ","Y","N",1468,0.27662048159852
"288","84  ","Y","Y",71,0.0133787835105551
"289","88  ","N","N",2866,0.540050613257056
"290","88  ","N","Y",44,0.00829107710513274
"291","88  ","Y","N",2898,0.546080487515334
"292","88  ","Y","Y",113,0.0212929934745455
"293","9   ","N","N",2482,0.467692122157715
"294","9   ","N","Y",115,0.0216698606156879
"295","9   ","Y","N",2368,0.446210695112598
"296","9   ","Y","Y",256,0.0482389940662269
"297","90  ","N","N",5260,0.991160581204505
"298","90  ","N","Y",29,0.00546457354656476
"299","90  ","Y","N",4441,0.836833486906693
"300","90  ","Y","Y",101,0.0190317906276911
"301","94  ","N","N",1133,0.213495235457168
"302","94  ","N","Y",5,0.000942167852855993
"303","94  ","Y","N",917,0.172793584213789
"304","94  ","Y","Y",34,0.00640674139942075
