"PCT","total","FRISKED","KNIFCUTI","FREQ","PERCENTAGE","normalisedFreq"
"54","112 ",2788,"N","N",1249,0.235353529643427,0.447991391678623
"55","112 ",2788,"Y","N",1516,0.285665292985937,0.543758967001435
"56","112 ",2788,"Y","Y",23,0.00433397212313757,0.00824964131994261
"57","113 ",8711,"N","N",3185,0.600160922269268,0.365629663643669
"58","113 ",8711,"N","Y",5,0.000942167852855993,0.000573986913098381
"59","113 ",8711,"Y","N",5438,1.02470175676618,0.6242681666858
"60","113 ",8711,"Y","Y",83,0.0156399863574095,0.00952818275743313
"61","114 ",8452,"N","N",2954,0.556632767467321,0.349503076194983
"62","114 ",8452,"N","Y",4,0.000753734282284795,0.000473260766682442
"63","114 ",8452,"Y","N",5466,1.02997789674217,0.646710837671557
"64","114 ",8452,"Y","Y",28,0.00527613997599356,0.00331282536677709
"65","115 ",8061,"N","N",1869,0.35218234339757,0.231857089691105
"66","115 ",8061,"N","Y",3,0.000565300711713596,0.000372162262746558
"67","115 ",8061,"Y","N",6126,1.15434405331916,0.75995534052847
"68","115 ",8061,"Y","Y",63,0.0118713149459855,0.00781540751767771
"69","120 ",12348,"N","N",6504,1.22557194299508,0.526724975704568
"70","120 ",12348,"N","Y",1,0.000188433570571199,8.09847748623259e-05
"71","120 ",12348,"Y","N",5770,1.08726170219582,0.46728215095562
"72","120 ",12348,"Y","Y",73,0.0137556506516975,0.00591188856494979
"73","122 ",6394,"N","N",3510,0.661401832704907,0.548952142633719
"74","122 ",6394,"N","Y",1,0.000188433570571199,0.000156396621832968
"75","122 ",6394,"Y","N",2847,0.536470375416203,0.445261182358461
"76","122 ",6394,"Y","Y",36,0.00678360854056315,0.00563027838598686
"77","123 ",1935,"N","N",1065,0.200681752658327,0.550387596899225
"78","123 ",1935,"Y","N",864,0.162806604973516,0.446511627906977
"79","123 ",1935,"Y","Y",6,0.00113060142342719,0.00310077519379845
"80","13  ",3821,"N","N",2255,0.424917701638053,0.590159644072232
"81","13  ",3821,"N","Y",7,0.00131903499399839,0.00183198115676524
"82","13  ",3821,"Y","N",1389,0.261734229523395,0.363517403820989
"83","13  ",3821,"Y","Y",170,0.0320337069971038,0.0444909709500131
"84","14  ",8869,"N","N",6307,1.18845052959255,0.71112865035517
"85","14  ",8869,"N","Y",98,0.0184664899159775,0.0110497237569061
"86","14  ",8869,"Y","N",2175,0.409843015992357,0.245236216033375
"87","14  ",8869,"Y","Y",289,0.0544573018950764,0.0325854098545496
"88","17  ",1320,"N","N",915,0.172416717072647,0.693181818181818
"89","17  ",1320,"N","Y",3,0.000565300711713596,0.00227272727272727
"90","17  ",1320,"Y","N",383,0.0721700575287691,0.290151515151515
"91","17  ",1320,"Y","Y",19,0.00358023784085278,0.0143939393939394
"92","18  ",2963,"N","N",2039,0.384216050394674,0.688153898076274
"93","18  ",2963,"N","Y",15,0.00282650355856798,0.00506243671954101
"94","18  ",2963,"Y","N",866,0.163183472114658,0.292271346608167
"95","18  ",2963,"Y","Y",43,0.00810264353456154,0.0145123185960175
"96","19  ",4646,"N","N",3372,0.635397999966082,0.725785622040465
"97","19  ",4646,"N","Y",6,0.00113060142342719,0.0012914334911752
"98","19  ",4646,"Y","N",1235,0.23271545965543,0.265820060266896
"99","19  ",4646,"Y","Y",33,0.00621830782884956,0.00710288420146362
"100","20  ",3260,"N","N",2102,0.39608736534066,0.64478527607362
"101","20  ",3260,"Y","N",1124,0.211799333322027,0.34478527607362
"102","20  ",3260,"Y","Y",34,0.00640674139942075,0.0104294478527607
"103","22  ",588,"N","N",403,0.0759387289401931,0.685374149659864
"104","22  ",588,"Y","N",183,0.0344833434145294,0.311224489795918
"105","22  ",588,"Y","Y",2,0.000376867141142397,0.00340136054421769
"106","23  ",10993,"N","N",5425,1.02225212034875,0.493495861002456
"107","23  ",10993,"N","Y",3,0.000565300711713596,0.000272900936959884
"108","23  ",10993,"Y","N",5527,1.04147234454702,0.502774492859092
"109","23  ",10993,"Y","Y",38,0.00716047568170555,0.00345674520149186
"110","24  ",4198,"N","N",2670,0.5031176334251,0.636017151024297
"111","24  ",4198,"N","Y",4,0.000753734282284795,0.000952834683182468
"112","24  ",4198,"Y","N",1506,0.283780957280225,0.358742258218199
"113","24  ",4198,"Y","Y",18,0.00339180427028158,0.00428775607432111
"114","25  ",6350,"N","N",2968,0.559270837455318,0.46740157480315
"115","25  ",6350,"N","Y",1,0.000188433570571199,0.00015748031496063
"116","25  ",6350,"Y","N",3333,0.628049090713805,0.524881889763779
"117","25  ",6350,"Y","Y",48,0.00904481138741754,0.00755905511811024
"118","26  ",5399,"N","N",2547,0.479940304244843,0.471754028523801
"119","26  ",5399,"Y","N",2832,0.533643871857635,0.524541581774403
"120","26  ",5399,"Y","Y",20,0.00376867141142397,0.00370438970179663
"121","28  ",6691,"N","N",3934,0.741297666627096,0.587953968016739
"122","28  ",6691,"N","Y",8,0.00150746856456959,0.00119563592885966
"123","28  ",6691,"Y","N",2711,0.51084340981852,0.405171125392318
"124","28  ",6691,"Y","Y",38,0.00716047568170555,0.0056792706620834
"125","30  ",6156,"N","N",3044,0.573591788818729,0.494476933073424
