"PCT","total","PF_HCUFF","FREQ","PERCENTAGE","normalisedFreq"
"62","25  ",6350,"Y",356,0.0670823511233467,0.0560629921259842
"63","26  ",5399,"N",5185,0.977028063411665,0.960363030190776
"64","26  ",5399,"Y",214,0.0403247841022365,0.0396369698092239
"65","28  ",6691,"N",6496,1.22406447443051,0.970856374234046
"66","28  ",6691,"Y",195,0.0367445462613837,0.0291436257659543
"67","30  ",6156,"N",5928,1.11703420634607,0.962962962962963
"68","30  ",6156,"Y",228,0.0429628540902333,0.037037037037037
"69","32  ",10656,"N",9977,1.88000173358885,0.93628003003003
"70","32  ",10656,"Y",679,0.127946394417844,0.06371996996997
"71","33  ",3612,"N",3512,0.66177869984605,0.972314507198228
"72","33  ",3612,"Y",100,0.0188433570571199,0.0276854928017719
"73","34  ",9664,"N",9416,1.77429050049841,0.974337748344371
"74","34  ",9664,"Y",248,0.0467315255016573,0.0256622516556291
"75","40  ",18229,"N",17746,3.34394214335649,0.973503757748642
"76","40  ",18229,"Y",483,0.091013414585889,0.0264962422513577
"77","41  ",8596,"N",8331,1.56984007642866,0.969171707771056
"78","41  ",8596,"Y",265,0.0499348962013677,0.0308282922289437
"79","42  ",7737,"N",7459,1.40552600289057,0.964068760501486
"80","42  ",7737,"Y",278,0.0523845326187932,0.0359312394985136
"81","43  ",10630,"N",10200,1.92202241982623,0.959548447789276
"82","43  ",10630,"Y",430,0.0810264353456154,0.0404515522107244
"83","44  ",15378,"N",14599,2.75094169676893,0.949343217583561
"84","44  ",15378,"Y",779,0.146789751474964,0.0506567824164391
"85","45  ",3990,"N",3714,0.699842281101432,0.930827067669173
"86","45  ",3990,"Y",276,0.0520076654776508,0.0691729323308271
"87","46  ",5619,"N",5441,1.02526705747789,0.96832176543869
"88","46  ",5619,"Y",178,0.0335411755616734,0.0316782345613098
"89","47  ",8917,"N",8400,1.58284199279807,0.942020859033307
"90","47  ",8917,"Y",517,0.0974201559853097,0.0579791409666928
"91","48  ",5408,"N",5271,0.993233350480788,0.974667159763314
"92","48  ",5408,"Y",137,0.0258153991682542,0.0253328402366864
"93","49  ",5771,"N",5595,1.05428582734586,0.969502685843008
"94","49  ",5771,"Y",176,0.033164308420531,0.0304973141569919
"95","5   ",2756,"N",2559,0.482201507091697,0.928519593613933
"96","5   ",2756,"Y",197,0.0371214134025261,0.0714804063860668
"97","50  ",1818,"N",1630,0.307146720031054,0.896589658965897
"98","50  ",1818,"Y",188,0.0354255112673853,0.103410341034103
"99","52  ",9735,"N",9439,1.77862447262154,0.969594247560349
"100","52  ",9735,"Y",296,0.0557763368890748,0.0304057524396507
"101","6   ",3600,"N",3444,0.648965217047208,0.956666666666667
"102","6   ",3600,"Y",156,0.029395637009107,0.0433333333333333
"103","60  ",7775,"N",7462,1.40609130360228,0.959742765273312
"104","60  ",7775,"Y",313,0.0589797075887852,0.0402572347266881
