"PCT","total","PF_GRND","FREQ","PERCENTAGE","normalisedFreq"
"54","20  ",3260,"Y",4,0.000753734282284795,0.00122699386503067
"55","22  ",588,"N",587,0.110610505925294,0.998299319727891
"56","22  ",588,"Y",1,0.000188433570571199,0.00170068027210884
"57","23  ",10993,"N",10982,2.0693774720129,0.998999363231147
"58","23  ",10993,"Y",11,0.00207276927628319,0.00100063676885291
"59","24  ",4198,"N",4182,0.788029192128753,0.99618866126727
"60","24  ",4198,"Y",16,0.00301493712913918,0.00381133873272987
"61","25  ",6350,"N",6315,1.18995799815712,0.994488188976378
"62","25  ",6350,"Y",35,0.00659517496999195,0.00551181102362205
"63","26  ",5399,"N",5378,1.01339574253191,0.996110390813114
"64","26  ",5399,"Y",21,0.00395710498199517,0.00388960918688646
"65","28  ",6691,"N",6671,1.25704034928047,0.997010910177851
"66","28  ",6691,"Y",20,0.00376867141142397,0.00298908982214916
"67","30  ",6156,"N",6133,1.15566308831316,0.996263807667316
"68","30  ",6156,"Y",23,0.00433397212313757,0.00373619233268356
"69","32  ",10656,"N",10604,1.99814958233699,0.99512012012012
"70","32  ",10656,"Y",52,0.00979854566970233,0.00487987987987988
"71","33  ",3612,"N",3590,0.676476518350603,0.99390919158361
"72","33  ",3612,"Y",22,0.00414553855256637,0.00609080841638981
"73","34  ",9664,"N",9646,1.81763022172978,0.998137417218543
"74","34  ",9664,"Y",18,0.00339180427028158,0.00186258278145695
"75","40  ",18229,"N",18198,3.42911411725467,0.998299413023205
"76","40  ",18229,"Y",31,0.00584144068770716,0.00170058697679522
"77","41  ",8596,"N",8580,1.61676003550088,0.998138669148441
"78","41  ",8596,"Y",16,0.00301493712913918,0.00186133085155886
"79","42  ",7737,"N",7707,1.45225752839223,0.996122528111671
"80","42  ",7737,"Y",30,0.00565300711713596,0.00387747188832881
"81","43  ",10630,"N",10576,1.992873442361,0.994920037629351
"82","43  ",10630,"Y",54,0.0101754128108447,0.00507996237064911
"83","44  ",15378,"N",15303,2.88359893045105,0.995122902848225
"84","44  ",15378,"Y",75,0.0141325177928399,0.00487709715177526
"85","45  ",3990,"N",3979,0.749777177302799,0.997243107769424
"86","45  ",3990,"Y",11,0.00207276927628319,0.00275689223057644
"87","46  ",5619,"N",5603,1.05579329591043,0.99715251824168
"88","46  ",5619,"Y",16,0.00301493712913918,0.00284748175831999
"89","47  ",8917,"N",8849,1.66744866598454,0.992374116855445
"90","47  ",8917,"Y",68,0.0128134827988415,0.00762588314455534
"91","48  ",5408,"N",5392,1.0160338125199,0.997041420118343
"92","48  ",5408,"Y",16,0.00301493712913918,0.0029585798816568
"93","49  ",5771,"N",5755,1.08443519863725,0.997227516894819
"94","49  ",5771,"Y",16,0.00301493712913918,0.00277248310518108
"95","5   ",2756,"N",2749,0.518003885500225,0.997460087082729
