"PCT","total","PF_DRWEP","FREQ","PERCENTAGE","normalisedFreq"
"124","72  ",5139,"N",5112,0.963272412759968,0.994746059544658
"125","72  ",5139,"Y",27,0.00508770640542236,0.00525394045534151
"126","73  ",21901,"N",21882,4.12330339123897,0.999132459705036
"127","73  ",21901,"Y",19,0.00358023784085278,0.0008675402949637
"128","75  ",24306,"N",24261,4.57158685562785,0.998148605282646
"129","75  ",24306,"Y",45,0.00847951067570394,0.00185139471735374
"130","76  ",4476,"N",4467,0.841732759741545,0.99798927613941
"131","76  ",4476,"Y",9,0.00169590213514079,0.00201072386058981
"132","77  ",9903,"N",9890,1.86360801294915,0.998687266484904
"133","77  ",9903,"Y",13,0.00244963641742558,0.00131273351509644
"134","78  ",3274,"N",3273,0.616743076479533,0.999694563225412
"135","78  ",3274,"Y",1,0.000188433570571199,0.00030543677458766
"136","79  ",15179,"N",15150,2.85476859415366,0.998089465709204
"137","79  ",15179,"Y",29,0.00546457354656476,0.0019105342907965
"138","81  ",9635,"N",9610,1.81084661318922,0.997405293201868
"139","81  ",9635,"Y",25,0.00471083926427997,0.00259470679813181
"140","83  ",11795,"N",11771,2.21805155919358,0.997965239508266
"141","83  ",11795,"Y",24,0.00452240569370877,0.00203476049173379
"142","84  ",3807,"N",3791,0.714351666035414,0.995797215655372
"143","84  ",3807,"Y",16,0.00301493712913918,0.00420278434462832
"144","88  ",5921,"N",5912,1.11401926921693,0.998479986488769
"145","88  ",5921,"Y",9,0.00169590213514079,0.00152001351123121
"146","9   ",5221,"N",5210,0.981738902675945,0.99789312392262
"147","9   ",5221,"Y",11,0.00207276927628319,0.00210687607737981
"148","90  ",9831,"N",9811,1.84872176087403,0.997965618960431
"149","90  ",9831,"Y",20,0.00376867141142397,0.00203438103956871
"150","94  ",2089,"N",2087,0.393260861782092,0.999042604116802
"151","94  ",2089,"Y",2,0.000376867141142397,0.000957395883197702
