"PCT","total","FRISKED","CONTRABN","FREQ","PERCENTAGE","normalisedFreq"
"50","110 ",9075,"N","Y",10,0.00188433570571199,0.00110192837465565
"51","110 ",9075,"Y","N",7202,1.35709857525377,0.793608815426997
"52","110 ",9075,"Y","Y",180,0.0339180427028158,0.0198347107438017
"53","111 ",3749,"N","N",1565,0.294898537943926,0.417444651907175
"54","111 ",3749,"N","Y",6,0.00113060142342719,0.00160042678047479
"55","111 ",3749,"Y","N",2129,0.401175071746082,0.567884769271806
"56","111 ",3749,"Y","Y",49,0.00923324495798874,0.0130701520405441
"57","112 ",2788,"N","N",1243,0.23422292822,0.44583931133429
"58","112 ",2788,"N","Y",6,0.00113060142342719,0.00215208034433285
"59","112 ",2788,"Y","N",1435,0.27040217376967,0.514705882352941
"60","112 ",2788,"Y","Y",104,0.0195970913394047,0.0373027259684362
"61","113 ",8711,"N","N",3152,0.593942614440418,0.36184135001722
"62","113 ",8711,"N","Y",38,0.00716047568170555,0.0043623005395477
"63","113 ",8711,"Y","N",5356,1.00925020397934,0.614854781310986
"64","113 ",8711,"Y","Y",165,0.0310915391442478,0.0189415681322466
"65","114 ",8452,"N","N",2944,0.554748431761609,0.348319924278277
"66","114 ",8452,"N","Y",14,0.00263806998799678,0.00165641268338855
"67","114 ",8452,"Y","N",5383,1.01433791038476,0.636890676762896
"68","114 ",8452,"Y","Y",111,0.0209161263334031,0.0131329862754378
"69","115 ",8061,"N","N",1861,0.350674874833001,0.230864656990448
"70","115 ",8061,"N","Y",11,0.00207276927628319,0.00136459496340404
"71","115 ",8061,"Y","N",6024,1.1351238291209,0.747301823595087
"72","115 ",8061,"Y","Y",165,0.0310915391442478,0.0204689244510607
"73","120 ",12348,"N","N",6467,1.21859990088394,0.523728539034661
"74","120 ",12348,"N","Y",38,0.00716047568170555,0.00307742144476838
"75","120 ",12348,"Y","N",5631,1.06106943588642,0.456025267249757
"76","120 ",12348,"Y","Y",212,0.0399479169610941,0.0171687722708131
"77","122 ",6394,"N","N",3484,0.656502559870056,0.544885830466062
"78","122 ",6394,"N","Y",27,0.00508770640542236,0.00422270878949015
"79","122 ",6394,"Y","N",2779,0.523656892617361,0.434626212073819
"80","122 ",6394,"Y","Y",104,0.0195970913394047,0.0162652486706287
"81","123 ",1935,"N","N",1062,0.200116451946613,0.548837209302326
"82","123 ",1935,"N","Y",3,0.000565300711713596,0.00155038759689922
"83","123 ",1935,"Y","N",839,0.158095765709236,0.43359173126615
"84","123 ",1935,"Y","Y",31,0.00584144068770716,0.0160206718346253
"85","13  ",3821,"N","N",2256,0.425106135208624,0.590421355666056
"86","13  ",3821,"N","Y",6,0.00113060142342719,0.00157026956294164
"87","13  ",3821,"Y","N",1511,0.284723125133081,0.395446218267469
"88","13  ",3821,"Y","Y",48,0.00904481138741754,0.0125621565035331
"89","14  ",8869,"N","N",6383,1.20277148095596,0.719697823880934
"90","14  ",8869,"N","Y",22,0.00414553855256637,0.00248055023114218
"91","14  ",8869,"Y","N",2412,0.454501772217731,0.27195850715977
"92","14  ",8869,"Y","Y",52,0.00979854566970233,0.00586311872815424
"93","17  ",1320,"N","N",909,0.17128611564922,0.688636363636364
"94","17  ",1320,"N","Y",9,0.00169590213514079,0.00681818181818182
"95","17  ",1320,"Y","N",392,0.0738659596639099,0.296969696969697
"96","17  ",1320,"Y","Y",10,0.00188433570571199,0.00757575757575758
"97","18  ",2963,"N","N",2051,0.386477253241528,0.692203847451907
"98","18  ",2963,"N","Y",3,0.000565300711713596,0.0010124873439082
"99","18  ",2963,"Y","N",879,0.165633108532084,0.296658791765103
"100","18  ",2963,"Y","Y",30,0.00565300711713596,0.010124873439082
"101","19  ",4646,"N","N",3342,0.629744992848946,0.719328454584589
"102","19  ",4646,"N","Y",36,0.00678360854056315,0.00774860094705123
"103","19  ",4646,"Y","N",1146,0.215944871874594,0.246663796814464
"104","19  ",4646,"Y","Y",122,0.0229888956096862,0.0262591476538958
"105","20  ",3260,"N","N",2095,0.394768330346661,0.642638036809816
"106","20  ",3260,"N","Y",7,0.00131903499399839,0.00214723926380368
"107","20  ",3260,"Y","N",1106,0.208407529051746,0.339263803680982
"108","20  ",3260,"Y","Y",52,0.00979854566970233,0.0159509202453988
"109","22  ",588,"N","N",396,0.0746196939461947,0.673469387755102
"110","22  ",588,"N","Y",7,0.00131903499399839,0.0119047619047619
"111","22  ",588,"Y","N",179,0.0337296091322446,0.304421768707483
"112","22  ",588,"Y","Y",6,0.00113060142342719,0.0102040816326531
"113","23  ",10993,"N","N",5403,1.01810658179619,0.49149458746475
"114","23  ",10993,"N","Y",25,0.00471083926427997,0.0022741744746657
"115","23  ",10993,"Y","N",5422,1.02168681963704,0.493222960065496
"116","23  ",10993,"Y","Y",143,0.0269460005916814,0.0130082779950878
"117","24  ",4198,"N","N",2648,0.498972094872534,0.630776560266794
"118","24  ",4198,"N","Y",26,0.00489927283485117,0.00619342544068604
"119","24  ",4198,"Y","N",1426,0.268706271634529,0.33968556455455
