"PCT","total","FRISKED","OTHRWEAP","FREQ","PERCENTAGE","normalisedFreq"
"55","113 ",8711,"Y","Y",23,0.00433397212313757,0.00264033980025255
"56","114 ",8452,"N","N",2958,0.557386501749606,0.349976336961666
"57","114 ",8452,"Y","N",5478,1.03223909958903,0.648130619971604
"58","114 ",8452,"Y","Y",16,0.00301493712913918,0.00189304306672977
"59","115 ",8061,"N","N",1872,0.352747644109284,0.232229251953852
"60","115 ",8061,"Y","N",6167,1.16206982971258,0.76504155811934
"61","115 ",8061,"Y","Y",22,0.00414553855256637,0.00272918992680809
"62","120 ",12348,"N","N",6504,1.22557194299508,0.526724975704568
"63","120 ",12348,"N","Y",1,0.000188433570571199,8.09847748623259e-05
"64","120 ",12348,"Y","N",5816,1.09592964644209,0.471007450599287
"65","120 ",12348,"Y","Y",27,0.00508770640542236,0.0021865889212828
"66","122 ",6394,"N","N",3510,0.661401832704907,0.548952142633719
"67","122 ",6394,"N","Y",1,0.000188433570571199,0.000156396621832968
"68","122 ",6394,"Y","N",2875,0.541746515392196,0.449640287769784
"69","122 ",6394,"Y","Y",8,0.00150746856456959,0.00125117297466375
"70","123 ",1935,"N","N",1065,0.200681752658327,0.550387596899225
"71","123 ",1935,"Y","N",864,0.162806604973516,0.446511627906977
"72","123 ",1935,"Y","Y",6,0.00113060142342719,0.00310077519379845
"73","13  ",3821,"N","N",2259,0.425671435920338,0.591206490447527
"74","13  ",3821,"N","Y",3,0.000565300711713596,0.000785134781470819
"75","13  ",3821,"Y","N",1544,0.290941432961931,0.404082700863648
"76","13  ",3821,"Y","Y",15,0.00282650355856798,0.0039256739073541
"77","14  ",8869,"N","N",6396,1.20522111737339,0.721163603562972
"78","14  ",8869,"N","Y",9,0.00169590213514079,0.00101477054910362
"79","14  ",8869,"Y","N",2443,0.460343212905438,0.275453827940016
"80","14  ",8869,"Y","Y",21,0.00395710498199517,0.00236779794790845
"81","17  ",1320,"N","N",917,0.172793584213789,0.69469696969697
"82","17  ",1320,"N","Y",1,0.000188433570571199,0.000757575757575758
"83","17  ",1320,"Y","N",395,0.0744312603756235,0.299242424242424
"84","17  ",1320,"Y","Y",7,0.00131903499399839,0.0053030303030303
