"PCT","total","PF_OTHER","FREQ","PERCENTAGE","normalisedFreq"
"33","114 ",8452,"Y",46,0.00866794424627514,0.00544249881684808
"34","115 ",8061,"N",7948,1.49767001889989,0.985981888103213
"35","115 ",8061,"Y",113,0.0212929934745455,0.014018111896787
"36","120 ",12348,"N",12317,2.32093628872545,0.997489471979268
"37","120 ",12348,"Y",31,0.00584144068770716,0.0025105280207321
"38","122 ",6394,"N",6367,1.19975654382682,0.99577729121051
"39","122 ",6394,"Y",27,0.00508770640542236,0.00422270878949015
"40","123 ",1935,"N",1935,0.364618959055269,1
"41","13  ",3821,"N",3749,0.706437456071424,0.9811567652447
"42","13  ",3821,"Y",72,0.0135672170811263,0.0188432347552997
"43","14  ",8869,"N",8749,1.64860530892742,0.986469726011952
"44","14  ",8869,"Y",120,0.0226120284685438,0.0135302739880483
"45","17  ",1320,"N",1311,0.247036411018841,0.993181818181818
"46","17  ",1320,"Y",9,0.00169590213514079,0.00681818181818182
"47","18  ",2963,"N",2941,0.554183131049895,0.99257509281134
"48","18  ",2963,"Y",22,0.00414553855256637,0.00742490718866014
"49","19  ",4646,"N",4590,0.864910088921802,0.987946620749031
"50","19  ",4646,"Y",56,0.0105522799519871,0.0120533792509686
"51","20  ",3260,"N",3250,0.612409104356396,0.996932515337423
"52","20  ",3260,"Y",10,0.00188433570571199,0.00306748466257669
"53","22  ",588,"N",588,0.110798939495865,1
"54","23  ",10993,"N",10966,2.06636253488376,0.997543891567361
"55","23  ",10993,"Y",27,0.00508770640542236,0.00245610843263895
"56","24  ",4198,"N",4155,0.782941485723331,0.989757027155789
"57","24  ",4198,"Y",43,0.00810264353456154,0.0102429728442115
"58","25  ",6350,"N",6320,1.19090016600998,0.995275590551181
"59","25  ",6350,"Y",30,0.00565300711713596,0.0047244094488189
"60","26  ",5399,"N",5331,1.00453936471506,0.987405075013891
"61","26  ",5399,"Y",68,0.0128134827988415,0.0125949249861085
"62","28  ",6691,"N",6542,1.23273241867678,0.977731280824989
"63","28  ",6691,"Y",149,0.0280766020151086,0.0222687191750112
"64","30  ",6156,"N",6104,1.1501985147666,0.991552956465237
"65","30  ",6156,"Y",52,0.00979854566970233,0.00844704353476283
"66","32  ",10656,"N",10572,1.99211970807871,0.992117117117117
"67","32  ",10656,"Y",84,0.0158284199279807,0.00788288288288288
"68","33  ",3612,"N",3580,0.674592182644891,0.991140642303433
"69","33  ",3612,"Y",32,0.00602987425827836,0.008859357696567
"70","34  ",9664,"N",9608,1.81046974604808,0.994205298013245
"71","34  ",9664,"Y",56,0.0105522799519871,0.00579470198675497
"72","40  ",18229,"N",18057,3.40254498380413,0.990564485161007
"73","40  ",18229,"Y",172,0.0324105741382462,0.00943551483899281
"74","41  ",8596,"N",8422,1.58698753135064,0.979758026989297
"75","41  ",8596,"Y",174,0.0327874412793886,0.0202419730107027
"76","42  ",7737,"N",7533,1.41947008711284,0.973633191159364
"77","42  ",7737,"Y",204,0.0384404483965245,0.0263668088406359
"78","43  ",10630,"N",10586,1.99475777806671,0.995860771401693
"79","43  ",10630,"Y",44,0.00829107710513274,0.00413922859830668
"80","44  ",15378,"N",15281,2.87945339189849,0.993692287683704
"81","44  ",15378,"Y",97,0.0182780563454063,0.00630771231629601
"82","45  ",3990,"N",3981,0.750154044443942,0.997744360902256
"83","45  ",3990,"Y",9,0.00169590213514079,0.00225563909774436
"84","46  ",5619,"N",5566,1.04882125379929,0.990567716675565
"85","46  ",5619,"Y",53,0.00998697924027353,0.00943228332443495
"86","47  ",8917,"N",8858,1.66914456811968,0.993383424918695
"87","47  ",8917,"Y",59,0.0111175806637007,0.00661657508130537
"88","48  ",5408,"N",5304,0.999451658309638,0.980769230769231
"89","48  ",5408,"Y",104,0.0195970913394047,0.0192307692307692
"90","49  ",5771,"N",5740,1.08160869507868,0.994628313983712
"91","49  ",5771,"Y",31,0.00584144068770716,0.00537168601628834
"92","5   ",2756,"N",2733,0.514988948371086,0.991654571843251
"93","5   ",2756,"Y",23,0.00433397212313757,0.00834542815674891
"94","50  ",1818,"N",1807,0.340499462022156,0.993949394939494
"95","50  ",1818,"Y",11,0.00207276927628319,0.00605060506050605
"96","52  ",9735,"N",9671,1.82234106099406,0.993425783256292
