"PCT","total","PF_HANDS","FREQ","PERCENTAGE","normalisedFreq"
"85","45  ",3990,"N",3574,0.673461581221464,0.895739348370927
"86","45  ",3990,"Y",416,0.0783883653576187,0.104260651629073
"87","46  ",5619,"N",3804,0.71680130245284,0.676988788040577
"88","46  ",5619,"Y",1815,0.342006930586726,0.323011211959423
"89","47  ",8917,"N",7192,1.35521423954806,0.806549287877089
"90","47  ",8917,"Y",1725,0.325047909235318,0.193450712122911
"91","48  ",5408,"N",4181,0.787840758558182,0.773113905325444
"92","48  ",5408,"Y",1227,0.231207991090861,0.226886094674556
"93","49  ",5771,"N",5207,0.981173601964232,0.902269970542367
"94","49  ",5771,"Y",564,0.106276533802156,0.097730029457633
"95","5   ",2756,"N",2311,0.43546998159004,0.838534107402032
"96","5   ",2756,"Y",445,0.0838529389041834,0.161465892597968
"97","50  ",1818,"N",1524,0.287172761550507,0.838283828382838
