"PCT","FRISKED","ARSTMADE","FREQ","PERCENTAGE"
"234","69  ","N","Y",25,0.00471083926427997
"235","69  ","Y","N",2342,0.441311422277747
"236","69  ","Y","Y",143,0.0269460005916814
"237","7   ","N","N",1153,0.217263906868592
"238","7   ","N","Y",56,0.0105522799519871
"239","7   ","Y","N",1949,0.367257029043266
"240","7   ","Y","Y",325,0.0612409104356396
"241","70  ","N","N",4552,0.857749613240096
"242","70  ","N","Y",11,0.00207276927628319
"243","70  ","Y","N",6421,1.20993195663767
"244","70  ","Y","Y",140,0.0263806998799678
"245","71  ","N","N",2161,0.40720494600436
"246","71  ","N","Y",104,0.0195970913394047
"247","71  ","Y","N",2146,0.404378442445792
"248","71  ","Y","Y",247,0.0465430919310861
"249","72  ","N","N",2375,0.447529730106597
"250","72  ","N","Y",18,0.00339180427028158
"251","72  ","Y","N",2534,0.477490667827417
"252","72  ","Y","Y",212,0.0399479169610941
"253","73  ","N","N",11903,2.24292479050898
"254","73  ","N","Y",119,0.0224235948979726
"255","73  ","Y","N",9489,1.7880461511501
"256","73  ","Y","Y",390,0.0734890925227675
"257","75  ","N","N",11757,2.21541348920558
"258","75  ","N","Y",135,0.0254385320271118
"259","75  ","Y","N",11939,2.24970839904954
"260","75  ","Y","Y",475,0.0895059460213194
"261","76  ","N","N",2587,0.487477647067691
"262","76  ","N","Y",21,0.00395710498199517
"263","76  ","Y","N",1605,0.302435880766774
"264","76  ","Y","Y",263,0.0495580290602253
"265","77  ","N","N",4518,0.851342871840676
"266","77  ","N","Y",98,0.0184664899159775
"267","77  ","Y","N",5015,0.944994356414561
"268","77  ","Y","Y",272,0.051253931195366
"269","78  ","N","N",2056,0.387419421094384
"270","78  ","N","Y",13,0.00244963641742558
"271","78  ","Y","N",1119,0.210857165469171
"272","78  ","Y","Y",86,0.0162052870691231
"273","79  ","N","N",6742,1.27041913279102
"274","79  ","N","Y",104,0.0195970913394047
"275","79  ","Y","N",7950,1.49804688604103
"276","79  ","Y","Y",383,0.0721700575287691
"277","81  ","N","N",3591,0.676664951921174
"278","81  ","N","Y",52,0.00979854566970233
"279","81  ","Y","N",5671,1.06860677870927
"280","81  ","Y","Y",321,0.0604871761533548
"281","83  ","N","N",4366,0.822700969113853
"282","83  ","N","Y",69,0.0130019163694127
"283","83  ","Y","N",6856,1.29190055983614
"284","83  ","Y","Y",504,0.0949705195678841
"285","84  ","N","N",2222,0.418699393809203
"286","84  ","N","Y",46,0.00866794424627514
"287","84  ","Y","N",1380,0.260038327388254
"288","84  ","Y","Y",159,0.0299609377208206
"289","88  ","N","N",2819,0.531194235440209
"290","88  ","N","Y",91,0.0171474549219791
"291","88  ","Y","N",2672,0.503494500566243
"292","88  ","Y","Y",339,0.0638789804236364
"293","9   ","N","N",2308,0.434904680878327
"294","9   ","N","Y",289,0.0544573018950764
"295","9   ","Y","N",1905,0.358965951938134
"296","9   ","Y","Y",719,0.135483737240692
"297","90  ","N","N",5185,0.977028063411665
"298","90  ","N","Y",104,0.0195970913394047
"299","90  ","Y","N",4173,0.786333289993612
"300","90  ","Y","Y",369,0.0695319875407723
"301","94  ","N","N",1124,0.211799333322027
"302","94  ","N","Y",14,0.00263806998799678
"303","94  ","Y","N",819,0.154327094297812
"304","94  ","Y","Y",132,0.0248732313153982
