"PCT","total","FRISKED","ASLTWEAP","FREQ","PERCENTAGE","normalisedFreq"
"34","112 ",2788,"N","N",1249,0.235353529643427,0.447991391678623
"35","112 ",2788,"Y","N",1538,0.289810831538504,0.551649928263989
"36","112 ",2788,"Y","Y",1,0.000188433570571199,0.000358680057388809
"37","113 ",8711,"N","N",3190,0.601103090122124,0.366203650556767
"38","113 ",8711,"Y","N",5519,1.03996487598245,0.633566754677993
"39","113 ",8711,"Y","Y",2,0.000376867141142397,0.000229594765239353
"40","114 ",8452,"N","N",2958,0.557386501749606,0.349976336961666
"41","114 ",8452,"Y","N",5493,1.03506560314759,0.649905347846664
"42","114 ",8452,"Y","Y",1,0.000188433570571199,0.000118315191670611
"43","115 ",8061,"N","N",1872,0.352747644109284,0.232229251953852
"44","115 ",8061,"Y","N",6186,1.16565006755344,0.767398585783402
"45","115 ",8061,"Y","Y",3,0.000565300711713596,0.000372162262746558
"46","120 ",12348,"N","N",6505,1.22576037656565,0.52680596047943
"47","120 ",12348,"Y","N",5842,1.10082891927694,0.473113054745708
"48","120 ",12348,"Y","Y",1,0.000188433570571199,8.09847748623259e-05
"49","122 ",6394,"N","N",3511,0.661590266275479,0.549108539255552
"50","122 ",6394,"Y","N",2883,0.543253983956766,0.450891460744448
"51","123 ",1935,"N","N",1065,0.200681752658327,0.550387596899225
"52","123 ",1935,"Y","N",870,0.163937206396943,0.449612403100775
"53","13  ",3821,"N","N",2262,0.426236736632051,0.591991625228998
"54","13  ",3821,"Y","N",1559,0.293767936520499,0.408008374771002
"55","14  ",8869,"N","N",6405,1.20691701950853,0.722178374112076
"56","14  ",8869,"Y","N",2464,0.464300317887434,0.277821625887924
"57","17  ",1320,"N","N",918,0.17298201778436,0.695454545454545
"58","17  ",1320,"Y","N",402,0.0757502953696219,0.304545454545455
"59","18  ",2963,"N","N",2054,0.387042553953242,0.693216334795815
"60","18  ",2963,"Y","N",909,0.17128611564922,0.306783665204185
"61","19  ",4646,"N","N",3378,0.636528601389509,0.72707705553164
"62","19  ",4646,"Y","N",1268,0.23893376748428,0.27292294446836
"63","20  ",3260,"N","N",2102,0.39608736534066,0.64478527607362
"64","20  ",3260,"Y","N",1158,0.218206074721448,0.35521472392638
"65","22  ",588,"N","N",403,0.0759387289401931,0.685374149659864
"66","22  ",588,"Y","N",185,0.0348602105556718,0.314625850340136
"67","23  ",10993,"N","N",5428,1.02281742106047,0.493768761939416
"68","23  ",10993,"Y","N",5565,1.04863282022872,0.506231238060584
"69","24  ",4198,"N","N",2674,0.503871367707385,0.63696998570748
"70","24  ",4198,"Y","N",1524,0.287172761550507,0.36303001429252
"71","25  ",6350,"N","N",2969,0.559459271025889,0.46755905511811
"72","25  ",6350,"Y","N",3380,0.636905468530652,0.532283464566929
"73","25  ",6350,"Y","Y",1,0.000188433570571199,0.00015748031496063
"74","26  ",5399,"N","N",2547,0.479940304244843,0.471754028523801
"75","26  ",5399,"Y","N",2851,0.537224109698487,0.528060751991109
"76","26  ",5399,"Y","Y",1,0.000188433570571199,0.000185219485089831
"77","28  ",6691,"N","N",3942,0.742805135191665,0.589149603945599
"78","28  ",6691,"Y","N",2749,0.518003885500225,0.410850396054401
"79","30  ",6156,"N","N",3048,0.574345523101014,0.495126705653021
"80","30  ",6156,"Y","N",3107,0.585463103764714,0.504710851202079
"81","30  ",6156,"Y","Y",1,0.000188433570571199,0.000162443144899285
"82","32  ",10656,"N","N",4140,0.780114982164762,0.388513513513513
"83","32  ",10656,"Y","N",6513,1.22726784513022,0.611204954954955
"84","32  ",10656,"Y","Y",3,0.000565300711713596,0.000281531531531532
"85","33  ",3612,"N","N",1427,0.268894705205101,0.395071982281285
"86","33  ",3612,"Y","N",2185,0.411727351698069,0.604928017718715
"87","34  ",9664,"N","N",4941,0.931050272192293,0.511278973509934
"88","34  ",9664,"Y","N",4723,0.889971753807771,0.488721026490066
"89","40  ",18229,"N","N",5418,1.02093308535475,0.297218717428274
"90","40  ",18229,"Y","N",12810,2.41383403901705,0.702726424927314
"91","40  ",18229,"Y","Y",1,0.000188433570571199,5.48576444127489e-05
"92","41  ",8596,"N","N",3215,0.605813929386404,0.374011167985109
"93","41  ",8596,"Y","N",5381,1.01396104324362,0.625988832014891
"94","42  ",7737,"N","N",2183,0.411350484556927,0.282150704407393
"95","42  ",7737,"Y","N",5553,1.04637161738187,0.717720046529663
"96","42  ",7737,"Y","Y",1,0.000188433570571199,0.000129249062944294
"97","43  ",10630,"N","N",4355,0.82062819983757,0.409689557855127
"98","43  ",10630,"Y","N",6275,1.18242065533427,0.590310442144873
"99","44  ",15378,"N","N",3519,0.663097734840048,0.228833398361295
"100","44  ",15378,"Y","N",11858,2.23444527983327,0.771101573676681
"101","44  ",15378,"Y","Y",1,0.000188433570571199,6.50279620236702e-05
"102","45  ",3990,"N","N",2192,0.413046386692068,0.54937343358396
"103","45  ",3990,"Y","N",1798,0.338803559887015,0.45062656641604
"104","46  ",5619,"N","N",1146,0.215944871874594,0.203950880939669
"105","46  ",5619,"Y","N",4473,0.842863361164972,0.796049119060331
"106","47  ",8917,"N","N",3410,0.642558475647787,0.382415610631378
