"PCT","total","FRISKED","ARSTMADE","FREQ","PERCENTAGE","normalisedFreq"
"125","26  ",5399,"N","N",2453,0.46222754861115,0.454343396925357
"126","26  ",5399,"N","Y",94,0.0177127556336927,0.0174106315984442
"127","26  ",5399,"Y","N",2504,0.471837660710281,0.463789590664938
"128","26  ",5399,"Y","Y",348,0.0655748825587771,0.0644563808112613
"129","28  ",6691,"N","N",3900,0.734890925227675,0.582872515319085
"130","28  ",6691,"N","Y",42,0.00791420996399034,0.00627708862651323
"131","28  ",6691,"Y","N",2495,0.470141758575141,0.372888955313107
"132","28  ",6691,"Y","Y",254,0.0478621269250845,0.0379614407412943
"133","30  ",6156,"N","N",2963,0.558328669602462,0.481319038336582
"134","30  ",6156,"N","Y",85,0.0160168534985519,0.0138076673164392
"135","30  ",6156,"Y","N",2574,0.485028010650265,0.41812865497076
"136","30  ",6156,"Y","Y",534,0.10062352668502,0.0867446393762183
"137","32  ",10656,"N","N",4008,0.755241750849364,0.376126126126126
"138","32  ",10656,"N","Y",132,0.0248732313153982,0.0123873873873874
"139","32  ",10656,"Y","N",5834,1.09932145071237,0.547484984984985
"140","32  ",10656,"Y","Y",682,0.128511695129558,0.0640015015015015
"141","33  ",3612,"N","N",1396,0.263053264517393,0.386489479512735
"142","33  ",3612,"N","Y",31,0.00584144068770716,0.00858250276854928
"143","33  ",3612,"Y","N",1977,0.37253316901926,0.54734219269103
"144","33  ",3612,"Y","Y",208,0.0391941826788093,0.0575858250276855
"145","34  ",9664,"N","N",4912,0.925585698645728,0.508278145695364
"146","34  ",9664,"N","Y",29,0.00546457354656476,0.00300082781456954
"147","34  ",9664,"Y","N",4350,0.819686031984714,0.45012417218543
"148","34  ",9664,"Y","Y",373,0.0702857218230571,0.0385968543046358
"149","40  ",18229,"N","N",5253,0.989841546210507,0.28816720610017
"150","40  ",18229,"N","Y",165,0.0310915391442478,0.00905151132810357
"151","40  ",18229,"Y","N",11936,2.24914309833783,0.654780843710571
"152","40  ",18229,"Y","Y",875,0.164879374249799,0.0480004388611553
"153","41  ",8596,"N","N",3148,0.593188880158134,0.366216845044207
"154","41  ",8596,"N","Y",67,0.0126250492282703,0.00779432294090275
"155","41  ",8596,"Y","N",5044,0.950458929961126,0.586784550953932
"156","41  ",8596,"Y","Y",337,0.063502113282494,0.0392042810609586
"157","42  ",7737,"N","N",2057,0.387607854664956,0.265865322476412
"158","42  ",7737,"N","Y",126,0.023742629891971,0.016285381930981
"159","42  ",7737,"Y","N",4994,0.941037251432566,0.645469820343803
"160","42  ",7737,"Y","Y",560,0.105522799519871,0.0723794752488044
"161","43  ",10630,"N","N",4225,0.796131835663314,0.397460018814675
"162","43  ",10630,"N","Y",130,0.0244963641742558,0.0122295390404516
"163","43  ",10630,"Y","N",5588,1.05296679235186,0.525682031984948
"164","43  ",10630,"Y","Y",687,0.129453862982413,0.0646284101599247
"165","44  ",15378,"N","N",3388,0.638412937095221,0.220314735336195
"166","44  ",15378,"N","Y",131,0.024684797744827,0.00851866302510079
"167","44  ",15378,"Y","N",10655,2.00775969443612,0.692872935362206
"168","44  ",15378,"Y","Y",1204,0.226874018967723,0.0782936662764989
"169","45  ",3990,"N","N",2142,0.403624708163508,0.536842105263158
"170","45  ",3990,"N","Y",50,0.00942167852855993,0.012531328320802
"171","45  ",3990,"Y","N",1525,0.287361195121078,0.382205513784461
"172","45  ",3990,"Y","Y",273,0.0514423647659372,0.068421052631579
"173","46  ",5619,"N","N",1104,0.208030661910603,0.196476241324079
"174","46  ",5619,"N","Y",42,0.00791420996399034,0.00747463961558996
"175","46  ",5619,"Y","N",4259,0.802538577062735,0.757964050542801
"176","46  ",5619,"Y","Y",214,0.0403247841022365,0.0380850685175298
"177","47  ",8917,"N","N",3303,0.622396083596669,0.37041605921274
"178","47  ",8917,"N","Y",107,0.0201623920511183,0.0119995514186386
"179","47  ",8917,"Y","N",4986,0.939529782867997,0.559156667040485
"180","47  ",8917,"Y","Y",521,0.0981738902675945,0.0584277223281373
"181","48  ",5408,"N","N",1809,0.340876329163298,0.334504437869822
"182","48  ",5408,"N","Y",30,0.00565300711713596,0.00554733727810651
"183","48  ",5408,"Y","N",3407,0.641993174936074,0.629992603550296
"184","48  ",5408,"Y","Y",162,0.0305262384325342,0.0299556213017751
"185","49  ",5771,"N","N",2358,0.444326359406886,0.408594697626061
"186","49  ",5771,"N","Y",55,0.0103638463814159,0.00953041067405995
"187","49  ",5771,"Y","N",3064,0.577360460230153,0.530930514642176
"188","49  ",5771,"Y","Y",294,0.0553994697479324,0.0509443770577023
