Precinct,Type,1990,1993,1998,2001,2012
25,G.L.A.,390,342,111,110,34
25,TOTAL,3240,2942,1462,1052,1056
26,Murder,15,14,3,1,3
26,Rape,23,26,16,9,10
26,Robbery,786,772,339,220,144
26,Fel. Assault,315,290,198,132,113
26,Burglary,807,624,271,124,60
26,Gr. Larceny,798,663,386,326,322
26,G.L.A.,636,360,114,133,23
26,TOTAL,3380,2749,1327,945,675
28,Murder,41,35,8,7,5
28,Rape,71,44,28,21,18
28,Robbery,1050,892,410,244,210
28,Fel. Assault,896,724,439,282,241
28,Burglary,872,877,291,141,101
28,Gr. Larceny,521,483,248,155,349
28,G.L.A.,211,151,75,112,20
28,TOTAL,3662,3206,1499,962,944
30,Murder,55,56,13,11,2
30,Rape,44,45,27,28,11
30,Robbery,892,715,466,290,256
30,Fel. Assault,760,680,416,380,188
30,Burglary,799,785,391,209,149
30,Gr. Larceny,422,348,171,163,234
30,G.L.A.,558,323,134,126,28
30,TOTAL,3530,2952,1618,1207,868
32,Murder,66,56,6,22,11
32,Rape,83,89,42,33,31
32,Robbery,1013,958,568,435,243
32,Fel. Assault,1070,968,666,474,281
32,Burglary,1248,974,388,243,109
32,Gr. Larceny,499,432,264,207,314
32,G.L.A.,490,258,138,148,40
32,TOTAL,4469,3735,2072,1562,1029
33,Murder,0,6,8,2,-75
33,Rape,16,35,19,19,0
33,Robbery,142,327,273,215,-21.2
33,Fel. Assault,155,379,315,179,-43.2
33,Burglary,186,366,199,163,-18.1
33,Gr. Larceny,99,269,199,278,39.7
33,G.L.A.,133,283,194,43,-77.8
33,TOTAL,731,1665,1207,899,-25.52
34,Murder,103,50,9,7,5
34,Rape,66,89,34,27,19
34,Robbery,1919,1312,363,316,245
34,Fel. Assault,1130,839,334,273,207
34,Burglary,2647,1921,748,419,262
34,Gr. Larceny,1469,1184,330,290,341
34,G.L.A.,2693,1830,386,367,79
34,TOTAL,10027,7225,2204,1699,1158
60,Murder,21,20,16,11,4
60,Rape,52,42,45,27,23
60,Robbery,1368,1074,554,462,299
60,Fel. Assault,791,735,572,312,213
60,Burglary,1078,993,481,302,257
60,Gr. Larceny,803,691,605,436,566
60,G.L.A.,2033,1174,493,262,77
60,TOTAL,6146,4729,2766,1812,1439
61,Murder,11,8,7,5,3
61,Rape,25,23,30,13,10
61,Robbery,1204,893,492,365,258
61,Fel. Assault,375,314,272,178,147
61,Burglary,2544,2146,1086,728,370
61,Gr. Larceny,1480,1463,912,671,752
61,G.L.A.,4206,3298,1281,636,128
61,TOTAL,9845,8145,4080,2596,1668
62,Murder,6,10,2,4,4
62,Rape,22,24,17,20,8
62,Robbery,1069,753,332,300,214
62,Fel. Assault,355,303,271,193,184
62,Burglary,2138,1693,812,678,256
62,Gr. Larceny,1003,774,570,501,505
62,G.L.A.,3495,1830,903,511,131
62,TOTAL,8088,5387,2907,2207,1302
63,Murder,13,14,4,3,8
63,Rape,15,24,25,17,15
63,Robbery,775,708,413,265,238
63,Fel. Assault,249,314,208,161,236
63,Burglary,1119,1165,537,339,251
63,Gr. Larceny,988,653,566,536,532
63,G.L.A.,3116,2730,845,497,106
63,TOTAL,6275,5608,2598,1818,1386
66,Murder,9,10,4,1,1
66,Rape,15,19,20,17,7
66,Robbery,835,747,406,282,182
66,Fel. Assault,286,314,215,212,162
66,Burglary,2676,1692,795,552,324
66,Gr. Larceny,831,661,416,353,466
66,G.L.A.,3275,1821,805,445,101
66,TOTAL,7927,5264,2661,1862,1243
67,Murder,54,55,25,21,15
67,Rape,91,101,82,58,32
67,Robbery,2158,2377,913,669,492
67,Fel. Assault,975,1234,974,735,590
67,Burglary,2607,2127,1141,827,448
67,Gr. Larceny,699,781,527,611,645
67,G.L.A.,2418,2042,692,702,208
67,TOTAL,9002,8717,4354,3623,2430
68,Murder,11,4,1,0,1
68,Rape,16,28,14,17,16
68,Robbery,716,552,267,198,111
68,Fel. Assault,248,281,198,169,109
68,Burglary,1694,1144,598,456,203
68,Gr. Larceny,942,479,363,440,396
68,G.L.A.,3142,1946,837,408,113
68,TOTAL,6769,4434,2278,1688,949
69,Murder,12,10,6,7,4
69,Rape,19,24,28,35,7
69,Robbery,796,712,472,363,220
69,Fel. Assault,218,275,289,267,204
69,Burglary,964,640,387,291,307
69,Gr. Larceny,447,414,352,340,312
69,G.L.A.,2082,2178,631,449,78
69,TOTAL,4538,4253,2165,1752,1132
70,Murder,45,46,9,13,11
70,Rape,56,111,61,64,15
70,Robbery,2482,2157,1008,883,387
70,Fel. Assault,878,866,605,503,264
70,Burglary,3365,2915,1291,914,355
70,Gr. Larceny,1300,1120,826,680,738
70,G.L.A.,3298,2391,879,629,118
70,TOTAL,11424,9606,4679,3686,1888
71,Murder,36,37,15,14,3
71,Rape,86,73,52,38,16
71,Robbery,1708,1690,878,603,322
71,Fel. Assault,860,926,707,490,349
71,Burglary,2099,1873,899,511,211
71,Gr. Larceny,741,689,602,514,618
71,G.L.A.,1533,1383,431,481,126
71,TOTAL,7063,6671,3584,2651,1645
72,Murder,24,18,7,6,2
72,Rape,22,38,30,32,23
72,Robbery,1035,1045,511,410,209
72,Fel. Assault,481,516,397,259,231
72,Burglary,1645,1163,804,545,177
72,Gr. Larceny,577,469,344,285,392
