"V2","val"
"3049600",2
"4070300",2
"2021502",1
"3043000",3
"4028800",3
"1003100",2
"4015900",2
"4099200",3
"3089000",3
"4044000",3
"3024000",2
"3082000",3
"1027900",1
"3118400",2
"4027800",2
"3086600",2
"5031902",3
"3112200",3
"2036800",2
"1001001",2
"4103900",2
"2004600",2
"1015900",3
"4062500",2
"3056100",2
"2046000",2
"1015200",3
"2042902",3
"1009500",2
"4014202",2
"4021200",3
"1013300",2
"4064102",2
"4009800",2
"3059402",2
"3050803",3
"3009800",3
"3051601",1
"3115800",3
"4041400",3
"4099802",1
"3041300",3
"3051200",3
"3079400",2
"4014700",2
"3051602",3
"4015500",2
"4071701",3
"3010800",2
"1009100",2
"2022901",3
"5011402",2
"4073700",2
"3021700",3
"4047500",2
"3050202",2
"4046000",3
"3042900",1
"4046100",2
"4042700",3
"1005501",2
"2040303",3
"4046700",3
"2001600",3
"4000600",2
"1023100",3
"2033800",3
"5019700",2
"3000200",2
"4085900",2
"2027300",1
"3043100",1
"3035400",3
"3002300",1
"3094402",3
"1008200",2
"4048000",2
"2038900",3
"4092500",2
"4045400",2
"5006400",3
"4074700",2
"5027302",2
"4041100",2
"4058300",2
"3119200",3
"2018500",1
"4018000",2
"3101000",2
"3005300",3
"3049800",2
"3003700",2
"2009600",2
"4048500",2
"1002400",1
"3094600",2
"4054900",3
"5001700",2
"3033000",1
"4018101",2
"3074200",2
"3042500",2
"2006900",1
"1010900",3
"2036502",2
"3119800",3
"2033600",1
"2032600",2
"3003500",2
"3092800",2
"1017402",3
"2022403",3
"2035000",2
"4100802",3
"4018102",2
"3039500",3
"3095000",2
"3051700",2
"4047000",2
"3008600",2
"4047200",2
"1014700",2
"4037600",2
"2014702",1
"4015600",2
"1016300",2
"1024500",1
"2023704",3
"1009900",2
"5001100",3
"3020100",3
"4065600",2
"3049200",2
"3035500",3
"5003300",2
"3007800",3
"4050000",3
"3013900",2
"1018500",2
"3044500",3
"1008700",2
"4089200",2
"3029600",2
"2036000",2
"3088400",3
"4003000",2
"4007300",2
"1021500",3
"4047100",2
"2014900",1
"2038500",1
"1022302",3
"3025901",3
"4000400",3
"4146700",2
"4059500",2
"3019600",2
"3048600",2
"1011201",2
"2007200",3
"2039300",1
"2008900",3
"2020000",3
"4014201",2
"1004900",2
"4051200",2
"1017500",2
"4077907",2
"3051002",3
"1020500",2
"5013302",3
"4073900",2
"4031700",2
"2036300",1
"3051001",3
"3031100",3
"4118900",2
"3048500",3
"3034000",2
"5031901",3
"3004600",2
"3036200",3
"1012500",3
"1023200",4
"1010602",2
"4007100",2
"1011100",2
"3060800",2
"1029900",1
"3044700",2
"2033700",2
"3052900",3
"3041401",2
"4027700",3
"3076800",2
"2024300",1
"1030900",1
"3038100",4
"3043800",2
"4157903",2
"4004200",2
"4035100",2
"3047000",2
"2045800",1
"2042400",2
"2039600",3
"3077000",2
"3028000",2
"4083700",2
"4055900",2
"3037100",3
"4053200",2
"3028300",1
"1012700",3
"3053500",2
"1030300",2
"1012900",2
"3050804",3
"3024300",3
"4104700",2
"1014000",2
"4047300",2
"4011600",2
"4022001",2
"1014802",3
"2036901",2
"4003400",3
"4025500",2
"4008600",2
"4018900",2
"5027702",3
"2022701",3
"2030200",2
"4011200",2
"5030302",2
"2007100",3
"3078200",2
"2043400",3
"3079601",2
"4020600",2
"3022100",3
"4116300",3
"4117500",2
"2001900",2
"4080301",2
"1008000",3
"4058000",2
"4115700",2
"3044100",1
"3004300",2
"2007400",2
"3039300",2
"3007700",3
"4088400",2
"1008100",3
"1014601",2
"3090000",1
"4036500",2
"4043900",3
"3079802",2
"5014100",2
"3038200",1
"4051600",2
"4115500",2
"3030300",3
"2038600",3
"4019600",2
"1017800",3
"1003700",2
"3037300",3
"3097400",2
"4099705",2
"4033700",2
"3023300",3
"4026400",2
"2017300",1
"1009200",2
"2021601",3
"3082200",3
"2040400",2
"4053401",2
"4012301",2
"1020101",2
"1029700",2
"4015700",2
"3036501",3
"4015300",2
"3027600",2
"2005600",2
"3112800",3
"1005600",2
"3036300",3
"3029000",2
"4002500",4
"2018302",3
"2021800",3
"4029700",2
"4048400",2
"4036100",2
"4083800",2
"4025400",4
"3102000",2
"4054700",2
"5012806",3
"3082600",3
"4119100",2
"1010000",2
"3086000",3
"3040300",3
"1000201",3
"3025700",3
"4003100",2
"3019300",2
"4044400",3
"1001402",3
"4037300",2
"3054900",2
"1024000",2
"3047600",2
"1023600",1
"3086800",3
"3037900",4
"3089400",3
"2026701",3
"3019000",2
"1014500",2
"3031400",2
"4099704",2
"3115000",2
"2003700",2
"4086300",2
"4016300",3
"1012600",2
"4085500",3
"5002700",2
"2036400",2
"3003100",2
"3085800",2
"2016200",2
"4041500",3
"1013700",2
"2022800",3
"3024200",2
"2022102",1
"4045800",2
"2021700",1
"2020900",1
"3046800",2
"3049500",2
"3011800",2
"5020801",2
"3048400",2
"3033500",2
"5014608",2
"2044200",3
"4046800",2
"4053000",2
"3088200",3
"3051900",2
"4046600",2
"5018100",2
"2044902",2
"3055100",3
"2022200",3
"5017300",2
"4026000",3
"3007500",2
"4069500",2
"3009600",3
"3023000",2
"1013000",2
"4026100",2
"2026602",2
"3057200",1
"4024900",2
"2028500",2
"3047700",2
"1001502",2
"4028100",2
"4040400",2
"2022404",3
"4116100",2
"1005000",2
"3076400",2
"3123700",3
"4055700",3
"4025900",2
"1011202",2
"5012804",2
"5014700",2
"1001300",3
"3006800",2
"1019000",2
"2034500",2
"1022102",2
"3013700",2
"2039200",2
"2011700",3
"4004300",3
"3037500",3
"3118202",2
"3112000",3
"5000900",2
"3042100",3
"4117100",2
"3035602",3
"2012101",3
"3100600",2
"4055200",2
"2021900",2
"2042800",2
"4074100",2
"3016300",2
"3059200",2
"4008500",2
"4011000",2
"3122000",2
"3010100",2
"4028200",2
"3011000",2
"3010200",2
"3043900",3
"1016700",2
"3098200",3
"4013400",2
"3013000",2
"3000100",2
"4086500",3
"4036300",2
"3032700",2
"3117800",2
"1025100",3
"2028300",3
"3053000",2
"3027300",3
"1015400",3
"2009200",2
"4056500",2
"3034700",3
"4030902",2
"4015801",2
"4050201",2
"1015500",2
"3087401",3
"4009700",2
"3020500",2
"3052600",2
"1005400",2
"2014300",2
"4120100",2
"4002600",2
"4012800",2
"3032300",2
"4045200",2
"4120500",2
"3030900",3
"1004400",2
"5008100",3
"2042200",2
"5017010",2
"3111800",3
"5013400",2
"2016500",2
"4039800",2
"2039700",2
"2037800",2
"1008900",2
"1002602",3
"3026400",2
"3082400",3
"3022200",2
"2028800",2
"4010701",2
"3093400",2
"4027900",3
"2002800",2
"3014300",2
"3024800",2
"2024000",3
"3003600",2
"1002700",2
"4018600",2
"3017900",3
"4008100",2
"2018101",3
"4145900",2
"2026900",2
"3026700",2
"4079702",2
"2007700",2
"4005500",2
"1008400",2
"3021800",2
"3044600",2
"2033201",2
"1013100",2
"3006200",2
"3057800",3
"3042000",2
"4071306",2
"1015802",2
"2012701",3
"4010600",2
"1020701",2
"2006000",2
"2045600",2
"3058600",2
"4018401",3
"4059300",2
"2022702",2
"4069000",2
"2003800",2
"3093600",2
"3099000",2
"4059100",2
"3057100",2
"3057900",2
"4118500",2
"3077200",2
"3036002",1
"4015400",2
"3031500",3
"4012500",2
"4013000",2
"3078400",2
"2024501",1
"5023100",2
"3039000",2
"3032800",3
"4014500",2
"1015602",2
"3016700",2
"4077300",2
"4001800",3
"2022902",3
"4040000",2
"3014200",2
"2007800",3
"4013600",2
"4101002",3
"3072000",2
"3054400",2
"3053200",2
"3041100",3
"2032400",3
"4053900",2
"5003600",2
"4061301",2
"4115100",2
"3053300",1
"3011700",2
"2023502",1
"3080200",3
"4062200",2
"3008200",3
"1014402",2
"3021200",2
"5022600",2
"3043200",2
"4005700",2
"1013400",2
"3056900",2
"3092200",2
"1005502",2
"4094203",2
"4052400",2
"4033900",2
"1013500",3
"1000202",1
"3088000",2
"3045300",2
"2023600",2
"3023400",3
"1026300",1
"3052500",3
"1023900",2
"4112300",2
"3032500",3
"4058500",2
"1011203",2
"4026300",2
"4009600",2
"2012102",2
"2022401",2
"3055300",2
"3118201",2
"3051800",2
"2039800",2
"2038800",2
"3072600",2
"3089600",3
"4024500",2
"3046202",2
"3054600",2
"4017900",2
"3026800",2
"4021600",2
"4039900",2
"3022600",2
"1014602",2
"4012602",2
"4077903",2
"4141700",2
"3074000",2
"5007000",3
"1001200",2
"4086400",2
"3056500",2
"4003200",2
"4018402",2
"3042700",1
"3048200",3
"4072300",2
"3058900",2
"4066400",3
"1021400",3
"2006800",2
"1002202",2
"3017800",2
"3105804",1
"1015001",2
"3050100",2
"4098100",2
"3005000",2
"3101200",2
"1017700",1
"3000501",2
"4014000",2
"2034800",3
"5009601",2
"3036100",2
"3078800",3
"3033300",2
"4125700",2
"3073800",2
"3016000",2
"4005100",2
"5029102",2
"3076600",2
"5017012",2
"5000800",2
"3037402",3
"4020500",2
"1026700",2
"3064200",2
"3056400",2
"1010400",2
"3006900",2
"4002000",2
"4004700",3
"3117202",2
"4047900",2
"4033401",2
"3091800",3
"3015700",2
"3031900",2
"4032000",2
"3030600",2
"4043400",2
"4029500",2
"1031100",2
"2040502",1
"1000700",2
"3040900",3
"2027700",3
"4069300",2
"3004100",2
"4057700",2
"3021100",2
"3058000",3
"4033402",3
"4006300",2
"4094700",2
"4027400",2
"3013200",2
"1031900",2
"1011402",2
"2038200",2
"3025600",2
"3047800",2
"3007100",1
"4003900",2
"3052800",2
"4077500",2
"3045400",2
"4009400",2
"1024700",1
"1016002",2
"2020601",2
"3076200",2
"3021500",2
"4035800",2
"3000900",2
"4062600",3
"4017000",2
"3116400",2
"3011600",2
"4056700",2
"3047200",2
"3118800",2
"4045500",1
"4036700",2
"4005000",2
"1006400",2
"4052200",2
"4012000",2
"5024800",2
"3015100",2
"3079200",3
"3109800",2
"3116000",3
"4053100",2
"1003002",2
"3084800",2
"4004401",2
"1018700",3
"3061003",2
"3005800",2
"3074600",2
"3034100",2
"4002400",2
"5011201",2
"4002800",2
"4001600",2
"3044300",3
"4077904",2
"4027000",2
"1019200",3
"3059000",2
"2000200",2
"1011700",2
"4002200",2
"4013700",2
"2023000",2
"2044901",2
"3072400",2
"3103400",3
"4039400",2
"5030301",2
"3050300",2
"3006000",2
"5005900",2
"1020600",2
"1012200",2
"2032300",2
"3150200",2
"2021602",3
"3031300",2
"1006200",2
"4140901",2
"4075702",2
"4079200",2
"3023200",3
"3023500",2
"5014606",2
"4055300",2
"4048100",3
"4069701",2
"5009602",2
"4011500",2
"4005200",2
"4071900",2
"1025500",3
"2035600",2
"3067200",2
"3012902",2
"4006202",2
"3067800",2
"1002601",3
"3005400",2
"3114202",2
"4000200",2
"3061200",2
"4055100",2
"4014300",2
"3081800",3
"3029800",2
"3030400",2
"1016100",2
"4017100",2
"3061002",2
"2039400",3
"4086100",2
"3009200",3
"3042400",2
"4053800",2
"4043702",2
"3042200",2
"2007000",3
"4058900",2
"2030701",2
"4061400",2
"2031800",2
"4068300",3
"2016900",2
"3061004",1
"3029500",2
"3084000",2
"5006700",2
"4093900",2
"4010500",3
"3098600",2
"3039400",2
"3007000",2
"4157101",2
"2042000",3
"2005200",2
"3045600",2
"4133900",2
"1010800",2
"3054700",3
"5013800",2
"4011800",2
"4059400",2
"3063800",2
"3030800",2
"3093800",2
"3016100",2
"4035300",2
"3025400",2
"2026400",2
"3058400",2
"3117201",2
"3056600",2
"4066300",2
"3053900",2
"3006400",2
"3015200",2
"2002701",4
"4060600",2
"3055500",2
"3086400",2
"3006500",2
"4048300",2
"3102200",2
"3019500",2
"1009700",3
"2015200",2
