"BoroCT2010","ACS_p_white","ACS_p_black","ACS_p_hispanic","ACS_p_edu_grad_HS","ACS_p_household_white","ACS_p_household_black","ACS_p_household_asian","ACS_p_household_hispanic","ACS_p_US_citizen","ACS_p_home_lang_english","ACS_p_home_lang_spanish","ACS_p_home_lang_other","ACS_p_pop_poverty","ACS_p_unemployed","ACS_p_civilian_labor_force","ACS_p_poverty_under100","ACS_p_poverty_100to149","ACS_p_poverty_200over","ACS_p_income_indv_75000ormore","ACS_p_house_social_security","ACS_p_house_supplemental_security","ACS_p_house_public_assistance","ACS_p_house_SNAP","ACS_avg_per_capita_income","stops"
4058500,84.87623762,0.643564356,42.27722772,41.63609685,83.20284698,0,9.323843416,36.58362989,76.75742574,30.02631579,34.47368421,35.5,100,4.47080292,50.71782178,17.84653465,10.96534654,61.78217822,5.386904762,30.46263345,1.352313167,1.637010676,2.348754448,21433,95
4058700,89.9867374,2.155172414,19.86074271,30.70009461,90.93931837,2.327514547,3.57439734,19.20199501,65.88196287,38.90479599,14.67430208,46.42090193,100,6.368670886,54.50928382,19.9270557,5.835543767,64.52254642,2.198665096,29.01080632,4.488778055,0,14.54696592,21598,36
4058900,84.7649919,0.231535078,40.42602454,44.24221211,85.02879079,0.639795266,1.279590531,36.02047345,64.64459366,34.76342241,33.3905369,31.8460407,100,2.467343977,57.11970364,15.65177124,11.83144246,55.89256772,5.021398003,17.78630838,3.966730646,0.831733845,6.781829815,19657,164
4059000,1.102941177,96.32352941,1.102941177,16.11876988,1.923076923,95.91346154,2.163461539,1.923076923,81.83823529,75.67776917,1.161890008,23.16034082,98.01470588,6.028938907,44.48529412,9.302325581,1.425356339,87.32183046,16.58692185,47.59615385,3.125,8.894230769,15.14423077,28221,47
4059100,80.07621121,0.889130829,59.35401923,32.57211539,80.58761805,2.570828961,1.259181532,48.68835257,72.07403375,36.57986467,46.89358212,16.52655321,100,4.618822945,46.67029577,20.41371802,17.80076211,51.62402468,6.416984733,13.16894019,6.715634837,4.092339979,12.85414481,21615,183
4059200,4.652880355,94.31314623,0.59084195,30.12392755,5.072463768,93.96135266,0.966183575,0.966183575,96.08567208,85.69169961,1.343873518,12.96442688,100,2.943722944,50.88626293,5.465288036,6.868537666,80.87149188,6.083333333,35.99033816,1.93236715,1.690821256,6.280193237,29385,27
4059300,82.88435374,0.653061225,25.08843537,35.70576541,86.21444201,1.750547046,4.814004376,17.87016776,81.2244898,40.32634033,16.4044289,43.26923077,100,6.554621849,49.93197279,12.70748299,9.714285714,65.49659864,8.422459893,21.73595915,1.969365427,0,4.959883297,24822,44
4059400,0,94.250646,2.260981912,20.7953604,0,94.31192661,2.201834862,4.036697248,88.63049096,71.93460491,5.177111717,22.88828338,100,4.011670314,62.40310078,5.426356589,1.61498708,83.72093023,17.7972283,28.62385321,4.220183486,0,12.8440367,38918,44
4059500,89.46330778,2.146768894,37.61226725,37.88467284,87.65727981,1.138406231,1.557819053,37.50748952,80.54764513,37.26997438,32.84416492,29.8858607,99.60569551,4.203152364,52.53012048,7.433472619,5.850010996,81.15240818,5.909990109,35.53025764,2.875973637,3.355302576,11.3241462,25800,271
4059600,0.777705768,92.15813351,0.583279326,37.57371525,0,100,0,0,89.76020739,91.85969557,0.595632032,7.544672402,98.96305898,11.49162862,59.75372651,3.536345776,0.065487885,92.66535691,19.40074906,43.56435644,9.900990099,3.564356436,4.356435644,40686,64
4059800,0.097134531,92.76347742,3.108305002,27.10280374,0,95.48611111,4.513888889,5.208333333,79.89315202,75.63206025,1.882732652,22.4852071,100,4.764890282,49.63574551,8.547838757,4.759592035,76.93054881,3.765432099,31.07638889,6.076388889,1.215277778,10.9375,21581,245
4059900,93.81663113,0,19.7583511,40.70881226,93.97810219,0,2.554744526,17.33576642,89.4100924,49.33035714,16.66666667,34.00297619,100,5.171042164,58.49324805,3.411513859,2.132196162,91.47121535,10.46788263,41.24087591,6.751824818,2.189781022,2.189781022,34850,4
