"inc[, 1]","V1"
"14000US36047023400",1
"14000US36047023500",1
"14000US36047023600",1
"14000US36047023800",1
"14000US36047024000",1
"14000US36047024100",1
"14000US36047024200",1
"14000US36047024300",1
"14000US36047024400",1
"14000US36047024500",1
"14000US36047024600",1
"14000US36047024700",1
"14000US36047024800",1
"14000US36047024900",1
"14000US36047025000",1
"14000US36047025100",1
"14000US36047025200",1
"14000US36047025300",1
"14000US36047025400",1
"14000US36047025500",1
"14000US36047025600",1
"14000US36047025700",1
"14000US36047025800",1
"14000US36047025901",1
"14000US36047025902",1
"14000US36047026000",1
"14000US36047026100",1
"14000US36047026200",1
"14000US36047026300",1
"14000US36047026400",1
"14000US36047026500",1
"14000US36047026600",1
"14000US36047026700",3
"14000US36047026800",1
"14000US36047026900",1
"14000US36047027000",1
"14000US36047027100",1
"14000US36047027200",1
"14000US36047027300",1
"14000US36047027400",1
"14000US36047027500",1
"14000US36047027600",1
"14000US36047027700",1
"14000US36047027800",1
"14000US36047027900",1
"14000US36047028000",1
"14000US36047028100",1
"14000US36047028200",1
"14000US36047028300",1
"14000US36047028400",1
"14000US36047028501",1
"14000US36047028502",1
"14000US36047028600",1
"14000US36047028700",1
"14000US36047028800",1
"14000US36047028900",1
"14000US36047029000",1
"14000US36047029100",1
"14000US36047029200",1
"14000US36047029300",1
"14000US36047029400",1
"14000US36047029500",3
"14000US36047029600",1
"14000US36047029700",3
"14000US36047029800",1
"14000US36047029900",1
"14000US36047030000",1
"14000US36047030100",1
"14000US36047030200",1
"14000US36047030300",1
"14000US36047030400",1
"14000US36047030500",1
"14000US36047030600",1
"14000US36047030700",1
"14000US36047030800",1
"14000US36047030900",1
"14000US36047031100",1
"14000US36047031300",1
"14000US36047031400",1
"14000US36047031500",1
"14000US36047031701",1
"14000US36047031702",3
"14000US36047031900",1
"14000US36047032100",1
"14000US36047032300",1
"14000US36047032500",1
"14000US36047032600",1
"14000US36047032700",1
"14000US36047032800",1
"14000US36047032900",1
"14000US36047033000",1
"14000US36047033100",1
"14000US36047033300",1
"14000US36047033500",1
"14000US36047033600",3
"14000US36047033700",1
"14000US36047033900",1
"14000US36047034000",1
"14000US36047034100",1
"14000US36047034200",1
"14000US36047034300",1
"14000US36047034500",3
"14000US36047034700",1
"14000US36047034800",1
"14000US36047034900",1
"14000US36047035000",1
"14000US36047035100",1
"14000US36047035200",1
"14000US36047035300",1
"14000US36047035400",3
"14000US36047035500",1
"14000US36047035601",3
"14000US36047035602",3
"14000US36047035700",1
"14000US36047035900",1
"14000US36047036001",3
"14000US36047036002",1
"14000US36047036100",1
"14000US36047036200",1
"14000US36047036300",1
"14000US36047036400",1
"14000US36047036501",1
"14000US36047036502",1
"14000US36047036600",1
"14000US36047036700",1
"14000US36047036900",1
"14000US36047037000",3
"14000US36047037100",1
"14000US36047037300",1
"14000US36047037401",3
"14000US36047037402",1
"14000US36047037500",1
"14000US36047037700",3
"14000US36047037900",1
"14000US36047038100",1
"14000US36047038200",1
"14000US36047038300",1
"14000US36047038500",1
"14000US36047038600",1
"14000US36047038700",1
"14000US36047038800",1
"14000US36047038900",1
"14000US36047039000",1
"14000US36047039100",1
"14000US36047039200",1
"14000US36047039300",1
"14000US36047039400",1
"14000US36047039500",1
"14000US36047039600",1
"14000US36047039700",1
"14000US36047039800",1
"14000US36047039900",1
"14000US36047040000",1
"14000US36047040100",1
"14000US36047040200",1
"14000US36047040300",1
"14000US36047040400",1
"14000US36047040500",1
"14000US36047040600",1
"14000US36047040800",1
"14000US36047040900",1
"14000US36047041000",3
"14000US36047041100",1
"14000US36047041200",1
"14000US36047041300",1
"14000US36047041401",1
"14000US36047041402",3
"14000US36047041500",1
"14000US36047041600",1
"14000US36047041700",1
"14000US36047041800",1
"14000US36047041900",1
"14000US36047042000",1
"14000US36047042100",1
"14000US36047042200",1
"14000US36047042300",1
"14000US36047042400",1
"14000US36047042500",1
"14000US36047042600",1
"14000US36047042700",1
"14000US36047042800",1
"14000US36047042900",1
"14000US36047043000",1
"14000US36047043100",1
"14000US36047043200",1
"14000US36047043300",1
"14000US36047043400",1
"14000US36047043500",1
"14000US36047043600",1
"14000US36047043700",1
"14000US36047043800",1
"14000US36047043900",1
"14000US36047044000",1
"14000US36047044100",1
"14000US36047044200",1
"14000US36047044300",1
"14000US36047044400",1
"14000US36047044500",1
"14000US36047044600",3
"14000US36047044700",1
"14000US36047044800",1
"14000US36047044900",1
"14000US36047045000",1
"14000US36047045200",3
"14000US36047045300",1
"14000US36047045400",1
"14000US36047045600",1
"14000US36047045800",3
"14000US36047046000",1
"14000US36047046201",1
"14000US36047046202",1
"14000US36047046400",1
"14000US36047046800",1
"14000US36047047000",1
"14000US36047047200",1
"14000US36047047400",1
"14000US36047047600",1
"14000US36047047700",3
"14000US36047047800",1
"14000US36047048000",1
"14000US36047048100",3
"14000US36047048200",1
"14000US36047048400",1
"14000US36047048500",1
"14000US36047048600",1
"14000US36047048800",1
"14000US36047048900",1
"14000US36047049000",1
"14000US36047049100",1
"14000US36047049200",1
"14000US36047049300",1
"14000US36047049400",1
"14000US36047049500",3
"14000US36047049600",1
"14000US36047049700",3
"14000US36047049800",1
"14000US36047049900",3
"14000US36047050000",3
"14000US36047050100",3
"14000US36047050202",3
"14000US36047050300",3
"14000US36047050400",3
"14000US36047050500",1
"14000US36047050600",1
"14000US36047050700",1
"14000US36047050801",1
"14000US36047050803",1
"14000US36047050804",1
"14000US36047050900",1
"14000US36047051001",1
"14000US36047051002",1
"14000US36047051100",1
"14000US36047051200",1
"14000US36047051300",3
"14000US36047051400",1
"14000US36047051500",3
"14000US36047051601",1
"14000US36047051602",1
"14000US36047051700",3
"14000US36047051800",3
"14000US36047051900",3
"14000US36047052000",1
"14000US36047052300",1
"14000US36047052500",1
"14000US36047052600",1
"14000US36047052700",1
"14000US36047052800",3
"14000US36047052900",1
"14000US36047053000",1
"14000US36047053100",1
"14000US36047053200",1
"14000US36047053300",1
"14000US36047053400",1
"14000US36047053500",1
"14000US36047053700",1
"14000US36047053800",1
"14000US36047053900",1
"14000US36047054200",1
"14000US36047054300",3
"14000US36047054400",1
"14000US36047054500",1
"14000US36047054600",1
"14000US36047054700",1
"14000US36047054800",1
"14000US36047054900",3
"14000US36047055000",1
"14000US36047055100",3
"14000US36047055200",1
"14000US36047055300",3
"14000US36047055400",1
"14000US36047055500",3
"14000US36047055600",1
"14000US36047055700",3
"14000US36047055800",1
"14000US36047056000",1
"14000US36047056100",3
"14000US36047056200",3
"14000US36047056300",3
"14000US36047056400",3
"14000US36047056500",3
"14000US36047056600",3
"14000US36047056800",3
"14000US36047056900",3
"14000US36047057000",3
"14000US36047057100",3
"14000US36047057200",1
"14000US36047057300",3
"14000US36047057400",1
"14000US36047057500",3
"14000US36047057600",1
"14000US36047057800",3
"14000US36047057900",1
"14000US36047058000",1
"14000US36047058200",1
"14000US36047058400",1
"14000US36047058600",1
"14000US36047058800",1
"14000US36047058900",3
"14000US36047059000",1
"14000US36047059100",3
"14000US36047059200",1
"14000US36047059300",3
"14000US36047059401",3
"14000US36047059402",3
"14000US36047059600",3
"14000US36047059800",1
"14000US36047060000",3
"14000US36047060600",1
"14000US36047060800",3
"14000US36047061002",3
"14000US36047061003",1
"14000US36047061004",1
"14000US36047061200",3
"14000US36047061600",3
"14000US36047062000",3
"14000US36047062200",1
"14000US36047062600",1
"14000US36047062800",3
"14000US36047063200",3
"14000US36047063600",3
"14000US36047063800",3
"14000US36047064000",3
"14000US36047064200",3
"14000US36047064400",1
"14000US36047064600",1
"14000US36047064800",1
"14000US36047065000",3
"14000US36047065200",3
"14000US36047065400",3
"14000US36047065600",3
"14000US36047065800",3
"14000US36047066000",3
"14000US36047066200",3
"14000US36047067000",1
"14000US36047067200",1
"14000US36047067400",1
"14000US36047067600",1
"14000US36047067800",1
"14000US36047068000",1
"14000US36047068200",1
"14000US36047068600",3
"14000US36047068800",3
"14000US36047069000",3
"14000US36047069200",1
"14000US36047069601",1
"14000US36047069602",3
"14000US36047069800",3
"14000US36047070000",3
"14000US36047070201",3
"14000US36047070600",3
"14000US36047072000",1
"14000US36047072200",3
"14000US36047072400",1
"14000US36047072600",1
"14000US36047072800",3
"14000US36047073000",3
"14000US36047073200",1
"14000US36047073400",1
"14000US36047073600",1
"14000US36047073800",1
"14000US36047074000",1
"14000US36047074200",1
"14000US36047074400",1
"14000US36047074600",1
"14000US36047074800",3
"14000US36047075000",1
"14000US36047075200",2
"14000US36047075400",3
"14000US36047075600",3
"14000US36047075800",3
"14000US36047076000",3
"14000US36047076200",1
"14000US36047076400",1
"14000US36047076600",1
"14000US36047076800",3
"14000US36047077000",1
"14000US36047077200",1
"14000US36047077400",1
"14000US36047077600",1
"14000US36047078000",1
"14000US36047078200",1
"14000US36047078400",1
"14000US36047078600",1
"14000US36047078800",1
"14000US36047079000",1
"14000US36047079200",1
"14000US36047079400",1
"14000US36047079601",1
"14000US36047079602",1
"14000US36047079801",1
"14000US36047079802",1
"14000US36047080000",1
"14000US36047080200",1
"14000US36047080400",1
"14000US36047080600",1
"14000US36047080800",1
"14000US36047081000",1
"14000US36047081400",1
"14000US36047081600",1
"14000US36047081800",1
"14000US36047082000",1
"14000US36047082200",1
"14000US36047082400",1
"14000US36047082600",1
"14000US36047082800",1
"14000US36047083000",1
"14000US36047083200",1
"14000US36047083400",1
"14000US36047083600",1
"14000US36047083800",1
"14000US36047084000",1
"14000US36047084600",3
"14000US36047084800",3
"14000US36047085000",1
"14000US36047085400",1
"14000US36047085600",1
"14000US36047085800",1
"14000US36047086000",1
"14000US36047086200",1
"14000US36047086400",1
"14000US36047086600",1
"14000US36047086800",1
"14000US36047087000",1
"14000US36047087200",1
"14000US36047087401",1
"14000US36047087600",1
"14000US36047087800",1
"14000US36047088000",1
"14000US36047088200",1
"14000US36047088400",1
"14000US36047088600",1
"14000US36047088800",1
"14000US36047089000",1
"14000US36047089200",1
"14000US36047089400",1
"14000US36047089600",1
"14000US36047089800",1
"14000US36047090000",1
"14000US36047090200",1
"14000US36047090600",1
"14000US36047090800",1
"14000US36047091000",1
"14000US36047091200",1
"14000US36047091600",1
"14000US36047091800",1
"14000US36047092000",1
"14000US36047092200",1
"14000US36047092400",1
"14000US36047092800",3
"14000US36047093000",3
"14000US36047093200",1
"14000US36047093400",3
"14000US36047093600",1
"14000US36047093800",1
"14000US36047094401",1
"14000US36047094402",1
"14000US36047094600",1
"14000US36047095000",1
"14000US36047095400",1
"14000US36047095600",1
"14000US36047095800",1
"14000US36047096200",1
"14000US36047096400",1
"14000US36047096600",1
"14000US36047096800",1
"14000US36047097000",1
"14000US36047097400",1
"14000US36047098200",1
"14000US36047098400",3
"14000US36047098600",1
"14000US36047098800",1
"14000US36047099000",1
"14000US36047099200",1
"14000US36047099400",1
"14000US36047099600",1
"14000US36047099800",1
"14000US36047100400",3
"14000US36047100600",3
"14000US36047100800",1
"14000US36047101000",1
"14000US36047101200",1
"14000US36047101400",1
"14000US36047101600",1
"14000US36047101800",3
"14000US36047102000",3
"14000US36047102200",3
"14000US36047102400",1
"14000US36047102600",1
"14000US36047102800",1
"14000US36047103400",1
"14000US36047105801",1
"14000US36047105804",1
"14000US36047107000",1
"14000US36047107800",3
"14000US36047109800",1
"14000US36047110400",1
"14000US36047110600",1
"14000US36047111000",1
"14000US36047111600",1
"14000US36047111800",1
"14000US36047112000",1
"14000US36047112200",1
"14000US36047112400",1
"14000US36047112600",1
"14000US36047112800",1
"14000US36047113000",1
"14000US36047113200",1
"14000US36047113400",1
"14000US36047114201",1
"14000US36047114202",1
"14000US36047114400",1
"14000US36047114600",1
"14000US36047115000",1
"14000US36047115200",1
"14000US36047115600",1
"14000US36047115800",1
"14000US36047116000",1
"14000US36047116200",1
"14000US36047116400",1
"14000US36047116600",1
"14000US36047116800",1
"14000US36047117000",1
"14000US36047117201",1
"14000US36047117202",1
"14000US36047117400",1
"14000US36047117601",1
"14000US36047117602",1
"14000US36047117800",1
"14000US36047118201",1
"14000US36047118202",1
"14000US36047118400",1
"14000US36047118600",1
"14000US36047118800",1
"14000US36047119000",1
"14000US36047119200",1
"14000US36047119400",1
"14000US36047119600",1
"14000US36047119800",1
"14000US36047120000",1
"14000US36047120200",1
"14000US36047120800",1
"14000US36047121000",1
"14000US36047121400",1
"14000US36047122000",1
"14000US36047123700",1
"14000US36047150200",3
"14000US36047152200",3
"14000US36061000201",1
"14000US36061000202",1
"14000US36061000600",1
"14000US36061000700",2
"14000US36061000800",1
"14000US36061000900",2
"14000US36061001001",3
"14000US36061001002",1
"14000US36061001200",3
"14000US36061001300",2
"14000US36061001401",3
"14000US36061001402",1
"14000US36061001501",2
"14000US36061001502",2
"14000US36061001600",1
"14000US36061001800",3
"14000US36061002000",1
"14000US36061002100",4
"14000US36061002201",1
"14000US36061002202",2
"14000US36061002400",1
"14000US36061002500",1
"14000US36061002601",3
"14000US36061002602",3
"14000US36061002700",3
"14000US36061002800",1
"14000US36061002900",1
"14000US36061003001",3
"14000US36061003002",3
"14000US36061003100",3
"14000US36061003200",3
"14000US36061003300",4
"14000US36061003400",3
"14000US36061003601",3
"14000US36061003602",3
"14000US36061003700",2
"14000US36061003800",3
"14000US36061003900",2
"14000US36061004000",3
"14000US36061004100",3
"14000US36061004200",2
"14000US36061004300",2
"14000US36061004400",3
"14000US36061004500",4
"14000US36061004700",2
"14000US36061004800",2
"14000US36061004900",2
"14000US36061005000",2
"14000US36061005200",2
"14000US36061005400",4
"14000US36061005501",2
"14000US36061005502",2
"14000US36061005600",4
"14000US36061005700",4
"14000US36061005800",4
"14000US36061005900",2
"14000US36061006000",2
"14000US36061006100",2
"14000US36061006200",3
"14000US36061006300",4
"14000US36061006400",2
"14000US36061006500",3
"14000US36061006600",3
"14000US36061006700",2
"14000US36061006800",2
"14000US36061006900",2
"14000US36061007000",2
"14000US36061007100",2
"14000US36061007200",2
"14000US36061007300",2
"14000US36061007400",4
"14000US36061007500",2
"14000US36061007600",2
"14000US36061007700",2
