"V2","val"
"2022901",3
"5011402",1
"4073700",1
"3021700",3
"4047500",3
"3050202",1
"4046000",3
"3042900",3
"4046100",3
"4042700",3
"1005501",1
"2040303",3
"4046700",3
"2001600",3
"4000600",3
"1023100",1
"2033800",3
"5019700",1
"3000200",3
"4085900",3
"2027300",3
"3043100",3
"3035400",3
"3002300",3
"3094402",3
"1008200",2
"4048000",3
"2038900",3
"4092500",3
"4045400",3
"5006400",3
"4074700",1
"5027302",1
"4041100",3
"4058300",3
"3119200",3
"2018500",3
"4018000",3
"3101000",3
"3005300",1
"3049800",3
"3003700",1
"2009600",3
"4048500",3
"1002400",3
"3094600",3
"4054900",3
"5001700",3
"3033000",3
"4018101",3
"3074200",3
"3042500",3
"2006900",3
"1010900",2
"2036502",3
"3119800",3
"2033600",3
"2032600",3
"3003500",1
"3092800",3
"1017402",3
"2022403",3
"2035000",3
"4100802",3
"4018102",1
"3039500",3
"3095000",3
"3051700",1
"4047000",3
"4047200",1
"1014700",2
"4037600",3
"2014702",3
"4015600",3
"1016300",2
"1024500",3
"2023704",3
"1009900",2
"5001100",3
"3020100",1
"4065600",3
"3049200",3
"3035500",3
"5003300",1
"3007800",3
"4050000",3
"3013900",1
"1018500",2
"3044500",3
"1008700",2
"4089200",1
"3029600",3
"2036000",3
"3088400",3
"4003000",3
"4007300",1
"1021500",3
"4047100",3
"2014900",3
"2038500",3
"1022302",3
"3025901",3
"4000400",3
"4146700",1
"4059500",3
"3019600",3
"3048600",3
"1011201",2
"2007200",3
"2039300",3
"2008900",3
"2020000",3
"4014201",3
"1004900",2
"4051200",3
"1017500",2
"4077907",3
"3051002",3
"1020500",1
"5013302",3
"4073900",1
"4031700",3
"2036300",3
"3051001",3
"3031100",3
"4118900",3
"3048500",3
"3034000",3
"5031901",3
"3004600",1
"3036200",3
"1012500",2
"1023200",3
"1010602",2
"4007100",3
"1011100",1
"3060800",1
"1029900",3
"3044700",3
"2033700",1
"3052900",3
"3041401",3
"4027700",3
"3076800",3
"2024300",3
"1030900",3
"3038100",3
"3043800",3
"4157903",1
"4004200",3
"4035100",3
"3047000",3
"2045800",3
"2042400",3
"2039600",3
"3077000",3
"3028000",3
"4083700",3
"4055900",3
"3037100",3
"4053200",1
"3028300",3
"1012700",1
"3053500",3
"1030300",1
"1012900",2
"3050804",3
"3024300",3
"4104700",1
"1014000",2
"4047300",1
"4011600",3
"4022001",1
"1014802",2
"2036901",3
"4003400",3
"4025500",1
"4008600",1
"4018900",3
"5027702",1
"2022701",3
"2030200",3
"4011200",3
"5030302",3
"2007100",3
"3078200",3
"2043400",3
"3079601",3
"4020600",3
"3022100",3
"4116300",3
"4117500",3
"2001900",3
"4080301",3
"1008000",2
"4058000",3
"4115700",3
"3044100",3
"3004300",1
"2007400",3
"3039300",3
"3007700",1
"4088400",1
"1008100",2
"1014601",2
"3090000",3
"4036500",3
"4043900",3
"3079802",3
"5014100",3
"3038200",3
"4051600",3
"4115500",3
"3030300",3
"2038600",3
"4019600",3
"1017800",3
"1003700",1
"3037300",3
"3097400",3
"4099705",1
"4033700",3
"3023300",3
"4026400",3
"2017300",3
"1009200",2
"2021601",3
"3082200",3
"2040400",3
"4053401",3
"4012301",1
"1020101",3
"4015700",3
"3036501",3
"4015300",1
"3027600",3
"2005600",3
"3112800",3
"1005600",2
"3036300",3
"3029000",3
"4002500",3
"2018302",3
"2021800",3
"4029700",3
"4048400",3
"4036100",3
"4083800",3
"4025400",3
"3102000",3
"4054700",3
"5012806",1
"3082600",3
"4119100",3
"1010000",2
"3086000",3
"3040300",3
"1000201",3
"3025700",3
"4003100",3
"3019300",3
"4044400",3
"1001402",3
"4037300",3
"3054900",1
"1024000",3
"3047600",3
"1023600",3
"3086800",3
"3037900",3
"3089400",3
"2026701",3
"3019000",3
"1014500",2
"3031400",3
"4099704",1
"3115000",3
